"home_team","away_team","date","home_spread","home_win_prob"
"Arizona Wildcats","Purdue Boilermakers",2026-03-28,-6,0.7015
"Illinois Fighting Illini","Iowa Hawkeyes",2026-03-28,-7,0.7269
"Duke Blue Devils","UConn Huskies",2026-03-29,-5,0.6462
"Michigan Wolverines","Tennessee Volunteers",2026-03-29,-7.5,0.7095
"Colorado Buffaloes","Oklahoma Sooners",2026-04-01,6.5,0.3008
"Minnesota Golden Gophers","Baylor Bears",2026-04-01,3.5,0.4035
"Auburn Tigers","Illinois St Redbirds",2026-04-02,-7,0.7001
"Creighton Bluejays","Rutgers Scarlet Knights",2026-04-02,-4,0.6113
"New Mexico Lobos","Tulsa Golden Hurricane",2026-04-02,-4.5,0.6062
"West Virginia Mountaineers","Stanford Cardinal",2026-04-02,1.5,0.4853
