team,seed,region,fd_round_of_32,sim_round_of_32,diff_round_of_32,fd_sweet_sixteen,sim_sweet_sixteen,diff_sweet_sixteen,fd_elite_eight,sim_elite_eight,diff_elite_eight,fd_final_four,sim_final_four,diff_final_four,fd_championship_game,sim_championship_game,diff_championship_game,fd_champion,sim_champion,diff_champion
Arizona,1,West,0.9878,0.9878,0.0000,0.8794,0.8060,0.0733,0.6854,0.6230,0.0624,0.5157,0.4294,0.0864,0.2913,0.2488,0.0425,0.1726,0.1366,0.0360
Duke,1,East,0.9851,0.9862,-0.0012,0.8485,0.8569,-0.0084,0.6748,0.6875,-0.0127,0.5239,0.5068,0.0170,0.3125,0.3327,-0.0202,0.1726,0.2072,-0.0346
Florida,1,South,0.9824,0.9893,-0.0069,0.7846,0.7562,0.0284,0.5881,0.5196,0.0685,0.3444,0.3021,0.0423,0.1719,0.1575,0.0143,0.0829,0.0844,-0.0016
Michigan,1,Midwest,0.9728,0.9801,-0.0072,0.8623,0.8070,0.0553,0.7166,0.6199,0.0967,0.5239,0.4559,0.0680,0.2963,0.2935,0.0028,0.1726,0.1719,0.0007
Houston,2,South,0.9663,0.9543,0.0121,0.7748,0.6685,0.1062,0.4958,0.3735,0.1223,0.2941,0.2015,0.0926,0.1432,0.0965,0.0467,0.0691,0.0479,0.0212
Iowa State,2,Midwest,0.9728,0.9540,0.0188,0.7460,0.6385,0.1074,0.4979,0.3719,0.1259,0.2269,0.1518,0.0750,0.1011,0.0720,0.0291,0.0487,0.0305,0.0182
Purdue,2,West,0.9728,0.9589,0.0139,0.7328,0.6917,0.0411,0.4600,0.4012,0.0587,0.1865,0.1835,0.0030,0.0781,0.0835,-0.0054,0.0360,0.0359,0.0002
UConn,2,East,0.9539,0.9415,0.0124,0.6854,0.6588,0.0265,0.4033,0.3489,0.0544,0.1579,0.1323,0.0256,0.0614,0.0602,0.0011,0.0267,0.0262,0.0005
Gonzaga,3,West,0.9433,0.9380,0.0052,0.6206,0.5831,0.0375,0.3194,0.3091,0.0104,0.1119,0.1328,-0.0208,0.0409,0.0568,-0.0159,0.0180,0.0229,-0.0049
Illinois,3,South,0.9728,0.9543,0.0186,0.7645,0.7253,0.0392,0.3847,0.4117,-0.0270,0.2024,0.2252,-0.0228,0.0859,0.1097,-0.0237,0.0395,0.0552,-0.0157
