"
Seed",Team,previous_usage_raw,previous_usage_perc,raw_picks,pick_perc,Round,
6,BYU,,,221,26.2%,1,
11,New Mexico,,,154,18.3%,1,
5,San Diego St.,,,130,15.4%,1,
4,Duke,,,120,14.3%,1,
3,Baylor,,,111,13.2%,1,
9,TCU,,,106,12.6%,1,
4,Alabama,,,97,11.5%,1,
4,Kansas,,,91,10.8%,1,
10,Drake,,,84,10.0%,1,
3,Illinois,,,80,9.5%,1,
4,Auburn,,,80,9.5%,1,
8,Florida Atlantic,,,78,9.3%,1,
11,Oregon,,,74,8.8%,1,
6,Texas Tech,,,69,8.2%,1,
10,Nevada,,,67,8.0%,1,
3,Creighton,,,64,7.6%,1,
5,Gonzaga,,,60,7.1%,1,
3,Kentucky,,,59,7.0%,1,
2,Marquette,,,58,6.9%,1,
9,Michigan St.,,,55,6.5%,1,
5,Saint Mary’s,,,51,6.1%,1,
2,Tennessee,,,42,5.0%,1,
1,North Carolina,,,40,4.8%,1,
5,Wisconsin,,,39,4.6%,1,
7,Texas,,,38,4.5%,1,
2,Iowa St.,,,37,4.4%,1,
7,Florida,,,33,3.9%,1,
10,Colorado,,,32,3.8%,1,
12,James Madison,,,31,3.7%,1,
8,Nebraska,,,31,3.7%,1,
1,Purdue,,,24,2.9%,1,
2,Arizona,,,24,2.9%,1,
11,North Carolina St.,,,22,2.6%,1,
10,Colorado St.,,,22,2.6%,1,
12,Grand Canyon,,,20,2.4%,1,
6,Clemson,,,20,2.4%,1,
9,Texas A&M,,,20,2.4%,1,
12,McNeese St.,,,17,2.0%,1,
7,Dayton,,,16,1.9%,1,
7,Washington St.,,,14,1.7%,1,
8,Mississippi St.,,,14,1.7%,1,
13,Samford,,,13,1.5%,1,
8,Utah St.,,,12,1.4%,1,
6,South Carolina,,,11,1.3%,1,
1,Houston,,,9,1.1%,1,
1,Connecticut,,,9,1.1%,1,
9,Northwestern,,,8,1.0%,1,
11,Duquesne,,,7,0.8%,1,
13,Charleston,,,3,0.4%,1,
14,Colgate,,,3,0.4%,1,
12,UAB,,,2,0.2%,1,
13,Vermont,,,1,0.1%,1,
14,Morehead St.,,,1,0.1%,1,
14,Akron,,,1,0.1%,1,
13,Yale,,,1,0.1%,1,
11,North Carolina St.,5,3.2%,70,45.5%,2,
3,Illinois,35,22.7%,61,39.6%,2,
5,San Diego St.,28,18.2%,40,26.0%,2,
2,Arizona,13,8.4%,34,22.1%,2,
4,Duke,41,26.6%,31,20.1%,2,
2,Iowa St.,23,14.9%,31,20.1%,2,
5,Gonzaga,21,13.6%,28,18.2%,2,
4,Alabama,32,20.8%,27,17.5%,2,
1,Purdue,15,9.7%,24,15.6%,2,
3,Baylor,50,32.5%,19,12.3%,2,
2,Tennessee,27,17.5%,19,12.3%,2,
,No Pick,0,0.0%,15,9.7%,2,
1,Houston,5,3.2%,13,8.4%,2,
3,Creighton,24,15.6%,7,4.5%,2,
11,Oregon,8,5.2%,7,4.5%,2,
14,Oakland,0,0.0%,7,4.5%,2,
2,Marquette,31,20.1%,5,3.2%,2,
9,Michigan St.,6,3.9%,5,3.2%,2,
10,Colorado,5,3.2%,5,3.2%,2,
1,North Carolina,18,11.7%,3,1.9%,2,
12,James Madison,9,5.8%,3,1.9%,2,
13,Yale,0,0.0%,3,1.9%,2,
12,Grand Canyon,3,1.9%,2,1.3%,2,
1,Connecticut,7,4.5%,1,0.6%,2,
7,Texas,5,3.2%,1,0.6%,2,
9,Texas A&M,4,2.6%,1,0.6%,2,
2,Marquette,24,23.1%,39,37.5%,3,
1,North Carolina,14,13.5%,30,28.8%,3,
2,Arizona,40,38.5%,22,21.2%,3,
2,Tennessee,31,29.8%,11,10.6%,3,
1,Purdue,30,28.8%,10,9.6%,3,
2,Iowa St.,39,37.5%,9,8.7%,3,
1,Connecticut,3,2.9%,7,6.7%,3,
3,Illinois,70,67.3%,6,5.8%,3,
3,Creighton,23,22.1%,6,5.8%,3,
6,Clemson,5,4.8%,6,5.8%,3,
11,North Carolina St.,61,58.7%,5,4.8%,3,
4,Duke,51,49.0%,5,4.8%,3,
1,Houston,16,15.4%,4,3.8%,3,
4,Alabama,41,39.4%,2,1.9%,3,
5,Gonzaga,35,33.7%,2,1.9%,3,
6,Clemson,6,27.3%,6,27.3%,4,
4,Duke,11,50.0%,4,18.2%,4,
4,Alabama,6,27.3%,4,18.2%,4,
11,North Carolina St.,13,59.1%,3,13.6%,4,
1,Purdue,10,45.5%,2,9.1%,4,
1,Connecticut,7,31.8%,2,9.1%,4,
,No Pick,0,0.0%,1,4.5%,4,
1,Connecticut,6,54.5%,4,36.4%,5,
4,Alabama,6,54.5%,3,27.3%,5,
11,North Carolina St.,9,81.8%,2,18.2%,5,
1,Purdue,8,72.7%,1,9.1%,5,
,No Pick,0,0.0%,1,9.1%,5,
1,Purdue,4,80.0%,1,20.0%,6,
,No Pick,0,0.0%,4,80.0%,6,
