"
Seed",Team,previous_usage_raw,previous_usage_perc,raw_picks,pick_perc,Round
8,Gonzaga,,,262,26.5%,1
3,Wisconsin,,,186,18.8%,1
4,Arizona,,,164,16.6%,1
8,UConn,,,159,16.1%,1
3,Iowa State,,,125,12.7%,1
12,Colorado St,,,124,12.6%,1
3,Kentucky,,,121,12.3%,1
3,Texas Tech,,,118,12.0%,1
11,North Carolina,,,114,11.6%,1
4,Purdue,,,101,10.2%,1
2,St John's,,,101,10.2%,1
7,Saint Mary's,,,100,10.1%,1
4,Maryland,,,100,10.1%,1
5,Oregon,,,99,10.0%,1
7,UCLA,,,89,9.0%,1
6,Missouri,,,83,8.4%,1
5,Clemson,,,79,8.0%,1
7,Kansas,,,74,7.5%,1
8,Louisville,,,55,5.6%,1
4,Texas A&M,,,54,5.5%,1
11,VCU,,,48,4.9%,1
12,UC San Diego,,,48,4.9%,1
6,Illinois,,,40,4.1%,1
7,Marquette,,,39,4.0%,1
2,Alabama,,,36,3.6%,1
5,Michigan,,,36,3.6%,1
6,BYU,,,31,3.1%,1
2,Michigan St,,,31,3.1%,1
11,Drake,,,29,2.9%,1
2,Tennessee,,,28,2.8%,1
9,Baylor,,,22,2.2%,1
1,Houston,,,21,2.1%,1
1,Auburn,,,21,2.1%,1
10,New Mexico,,,20,2.0%,1
9,Creighton,,,19,1.9%,1
10,Vanderbilt,,,19,1.9%,1
5,Memphis,,,17,1.7%,1
10,Utah State,,,17,1.7%,1
13,Yale,,,17,1.7%,1
8,Mississippi St,,,16,1.6%,1
11,Xavier,,,14,1.4%,1
10,Arkansas,,,13,1.3%,1
6,Ole Miss,,,13,1.3%,1
12,Liberty,,,9,0.9%,1
12,McNeese,,,8,0.8%,1
9,Georgia,,,8,0.8%,1
1,Duke,,,8,0.8%,1
13,High Point,,,8,0.8%,1
9,Oklahoma,,,7,0.7%,1
1,Florida,,,7,0.7%,1
13,Grand Canyon,,,1,0.1%,1
14,Lipscomb,,,1,0.1%,1
13,Akron,,,1,0.1%,1
4,Maryland,65,13.0%,254,50.8%,2
4,Purdue,70,14.0%,144,28.8%,2
3,Texas Tech,98,19.6%,135,27.0%,2
3,Iowa State,108,21.6%,92,18.4%,2
2,Michigan St,25,5.0%,90,18.0%,2
2,Alabama,34,6.8%,79,15.8%,2
4,Arizona,121,24.2%,76,15.2%,2
2,St John's,86,17.2%,75,15.0%,2
6,BYU,14,2.8%,68,13.6%,2
6,Illinois,25,5.0%,64,12.8%,2
2,Tennessee,23,4.6%,57,11.4%,2
4,Texas A&M,34,6.8%,45,9.0%,2
12,McNeese,4,0.8%,44,8.8%,2
5,Michigan,22,4.4%,40,8.0%,2
1,Auburn,21,4.2%,33,6.6%,2
3,Wisconsin,150,30.0%,31,6.2%,2
5,Oregon,59,11.8%,22,4.4%,2
1,Duke,7,1.4%,21,4.2%,2
3,Kentucky,99,19.8%,20,4.0%,2
11,Drake,14,2.8%,18,3.6%,2
12,Colorado St,35,7.0%,14,2.8%,2
1,Florida,7,1.4%,13,2.6%,2
6,Ole Miss,7,1.4%,12,2.4%,2
7,UCLA,45,9.0%,10,2.0%,2
8,Gonzaga,135,27.0%,8,1.6%,2
1,Houston,18,3.6%,7,1.4%,2
10,Arkansas,5,1.0%,7,1.4%,2
7,Saint Mary's,59,11.8%,6,1.2%,2
,No Pick,0,0.0%,6,1.2%,2
10,New Mexico,9,1.8%,5,1.0%,2
8,UConn,83,16.6%,2,0.4%,2
9,Creighton,7,1.4%,2,0.4%,2
2,Alabama,56,31.8%,50,28.4%,3
10,Arkansas,5,2.8%,37,21.0%,3
3,Texas Tech,99,56.2%,35,19.9%,3
1,Houston,12,6.8%,34,19.3%,3
2,Tennessee,38,21.6%,30,17.0%,3
2,Michigan St,64,36.4%,25,14.2%,3
6,Ole Miss,8,4.5%,25,14.2%,3
6,BYU,24,13.6%,16,9.1%,3
1,Auburn,26,14.8%,12,6.8%,3
3,Kentucky,46,26.1%,10,5.7%,3
1,Duke,13,7.4%,8,4.5%,3
1,Florida,8,4.5%,8,4.5%,3
4,Purdue,104,59.1%,1,0.6%,3
5,Michigan,22,12.5%,1,0.6%,3
,No Pick,0,0.0%,1,0.6%,3
1,Florida,8,8.2%,30,30.9%,4
1,Auburn,22,22.7%,27,27.8%,4
1,Houston,29,29.9%,12,12.4%,4
1,Duke,8,8.2%,12,12.4%,4
2,Tennessee,45,46.4%,8,8.2%,4
2,Michigan St,55,56.7%,5,5.2%,4
3,Texas Tech,80,82.5%,1,1.0%,4
2,Alabama,74,76.3%,1,1.0%,4
,No Pick,0,0.0%,1,1.0%,4
1,Florida,36,44.4%,24,29.6%,5
1,Auburn,43,53.1%,22,27.2%,5
1,Duke,18,22.2%,21,25.9%,5
1,Houston,35,43.2%,14,17.3%,5
1,Houston,23,60.5%,15,39.5%,6
,No Pick,0,0.0%,15,39.5%,6
1,Florida,30,78.9%,8,21.1%,6
