Rk,Team,Conf,W-L,NetRtg,ORtg,DRtg,AdjT,Luck
1,Gonzaga,WCC,31-1,36.48,126.4,89.9,73.8,0.022
2,Baylor,B12,28-2,33.87,125.0,91.1,67.4,0.046
3,Michigan,B10,23-5,29.67,117.6,87.9,66.6,0.007
4,Illinois,B10,24-7,29.06,118.0,88.9,70.5,0.022
5,Houston,Amer,28-4,28.75,118.3,89.6,64.4,0.018
6,USC,P12,25-8,27.58,115.7,88.1,67.0,0.001
7,Iowa,B10,22-9,26.87,123.5,96.7,69.9,-0.027
8,Colorado,P12,23-9,25.10,116.3,91.2,66.1,-0.025
9,Alabama,SEC,26-7,25.09,112.9,87.8,73.3,0.020
10,Loyola Chicago,MVC,26-5,24.32,111.3,87.0,63.7,-0.024
11,Ohio St.,B10,21-10,23.58,120.7,97.1,66.7,-0.012
12,Villanova,BE,18-7,23.02,119.0,96.0,64.2,-0.007
13,UCLA,P12,22-10,22.43,116.9,94.5,63.8,0.028
14,Wisconsin,B10,18-13,22.40,113.0,90.6,64.6,-0.052
15,Florida St.,ACC,18-7,22.12,114.9,92.8,69.9,0.002
16,Oregon,P12,21-7,21.85,117.2,95.4,67.2,0.049
17,Texas Tech,B12,18-11,21.81,112.7,90.9,65.1,-0.099
18,Arkansas,SEC,25-7,21.56,111.1,89.6,72.6,0.064
19,Virginia,ACC,18-7,21.42,114.7,93.3,59.9,0.025
20,BYU,WCC,20-7,21.12,113.7,92.5,67.6,0.037
21,Connecticut,BE,15-8,20.61,113.1,92.5,65.5,-0.068
22,Creighton,BE,22-9,20.59,113.4,92.8,68.7,0.017
23,West Virginia,B12,19-10,20.51,116.8,96.3,69.2,-0.056
24,LSU,SEC,19-10,20.35,120.1,99.8,70.6,-0.007
25,Purdue,B10,18-10,20.33,113.3,92.9,66.1,0.010
26,Texas,B12,19-8,20.31,113.1,92.8,68.6,-0.004
27,Kansas,B12,21-9,19.98,110.1,90.2,68.2,0.070
28,Tennessee,SEC,18-9,19.95,108.0,88.1,67.1,-0.013
29,Arizona,P12,17-9,19.92,115.6,95.7,67.7,-0.017
30,San Diego St.,MWC,23-5,19.88,111.0,91.1,65.5,0.027
31,Memphis,Amer,20-8,19.11,105.5,86.4,71.3,-0.068
32,St. Bonaventure,A10,16-5,19.04,110.0,91.0,64.8,0.016
33,Oklahoma St.,B12,21-9,18.95,109.6,90.7,72.4,0.038
34,North Carolina,ACC,18-11,18.62,110.3,91.7,71.5,-0.005
35,Maryland,B10,17-14,17.63,111.8,94.1,64.7,-0.024
36,Duke,ACC,13-11,17.56,114.5,97.0,68.5,-0.109
37,Georgia Tech,ACC,17-9,17.50,113.7,96.2,67.3,-0.005
38,Rutgers,B10,16-12,17.48,108.1,90.6,67.4,0.027
39,Oklahoma,B12,16-11,17.06,112.1,95.1,67.1,-0.025
40,Penn St.,B10,11-14,17.03,112.2,95.2,69.1,-0.050
41,Florida,SEC,15-10,16.95,111.0,94.1,68.3,-0.004
42,Syracuse,ACC,18-10,16.75,113.7,96.9,68.6,0.029
43,Oregon St.,P12,20-13,16.40,112.1,95.7,65.5,0.072
44,Utah,P12,12-13,15.78,112.7,97.0,67.6,-0.077
45,Clemson,ACC,16-8,15.48,106.4,90.9,64.0,0.100
46,Utah St.,MWC,20-9,15.34,104.8,89.5,68.6,-0.037
47,Missouri,SEC,16-10,15.14,110.6,95.5,68.4,0.070
48,VCU,A10,19-7,15.04,105.2,90.2,69.6,0.035
49,Kentucky,SEC,9-16,14.97,108.0,93.1,68.1,-0.148
50,Indiana,B10,12-15,14.95,109.1,94.2,65.9,-0.053
51,Mississippi,SEC,16-12,14.67,106.1,91.4,64.9,-0.063
52,Virginia Tech,ACC,15-7,14.44,109.7,95.3,65.7,0.043
53,Saint Louis,A10,14-7,14.37,110.4,96.0,68.0,-0.037
54,Seton Hall,BE,14-13,14.36,110.3,95.9,66.5,-0.027
55,Drake,MVC,26-5,14.27,112.5,98.2,66.3,0.102
56,SMU,Amer,11-6,14.07,110.8,96.8,68.8,-0.012
57,Stanford,P12,14-13,13.78,106.0,92.2,69.2,0.022
58,UC Santa Barbara,BW,22-5,13.63,109.9,96.2,65.6,0.030
59,Louisville,ACC,13-7,13.54,107.7,94.2,65.7,0.118
60,Auburn,SEC,13-14,13.20,111.6,98.4,71.0,-0.044
61,Boise St.,MWC,19-9,13.13,109.1,96.0,69.1,-0.026
62,Minnesota,B10,14-15,12.97,108.4,95.4,69.9,0.011
63,Georgetown,BE,13-13,12.91,107.9,95.0,69.7,0.008
64,Michigan St.,B10,15-13,12.90,107.1,94.2,68.3,0.090
65,Richmond,A10,14-9,12.78,110.9,98.1,68.2,-0.061
66,Xavier,BE,13-8,12.73,110.6,97.9,67.9,0.003
67,Mississippi St.,SEC,18-15,12.37,107.7,95.3,65.8,-0.011
68,Wichita St.,Amer,16-6,12.30,109.5,97.2,67.0,0.089
