rank,team,conf,record,adj_em,adj_o,adj_d
1,Duke,ACC,28-2,40.79,128.8,88.1
2,Michigan,B10,27-2,39.55,128.4,88.9
3,Arizona,B12,28-2,37.56,126.7,89.1
4,Florida,SEC,24-6,35.35,126.2,90.9
5,Illinois,B10,23-7,33.19,131.8,98.7
6,Houston,B12,24-5,32.69,125.3,92.6
7,Purdue,B10,22-7,30.15,129.7,99.6
8,Michigan St.,B10,24-5,29.79,122.1,92.3
9,Iowa St.,B12,24-6,29.66,123.1,93.4
10,Connecticut,BE,27-3,29.18,123.4,94.3
11,Gonzaga,WCC,28-3,28.34,122.4,94.1
12,Nebraska,B10,25-5,26.79,119.4,92.6
13,Tennessee,SEC,21-9,26.54,121.4,94.9
14,Texas Tech,B12,22-8,26.51,125.9,99.4
15,Vanderbilt,SEC,23-7,26.25,125.1,98.9
16,Alabama,SEC,22-8,26.03,129.4,103.4
17,Louisville,ACC,21-9,26.02,124.3,98.3
18,Virginia,ACC,26-4,25.71,121.9,96.1
19,Arkansas,SEC,21-8,25.5,128.0,102.5
20,Kansas,B12,21-9,25.47,119.0,93.6
21,St. John's,BE,24-6,24.11,119.0,94.9
22,Saint Mary's,WCC,27-4,23.61,120.6,97.0
23,Iowa,B10,20-9,22.2,122.0,99.8
24,BYU,B12,20-10,22.09,125.4,103.3
25,Saint Louis,A10,26-3,21.63,120.9,99.3
26,Kentucky,SEC,19-11,21.44,121.2,99.7
27,North Carolina,ACC,24-6,21.19,121.9,100.7
28,Georgia,SEC,21-9,21.14,125.3,104.2
29,Texas,SEC,18-11,21.13,127.3,106.2
30,Wisconsin,B10,20-9,21.0,123.7,102.7
31,Miami FL,ACC,23-6,20.51,120.7,100.2
32,UCLA,B10,20-10,20.16,122.8,102.7
33,N.C. State,ACC,19-11,20.15,123.1,103.0
34,Ohio St.,B10,18-11,20.03,123.2,103.2
35,Villanova,BE,22-7,20.02,120.6,100.6
36,Texas A&M,SEC,20-10,19.78,121.1,101.3
37,Utah St.,MWC,24-6,19.77,122.2,102.4
38,Clemson,ACC,21-9,19.6,116.1,96.5
39,Santa Clara,WCC,24-7,19.5,122.8,103.4
40,Auburn,SEC,16-14,19.0,125.8,106.8
41,SMU,ACC,19-10,18.71,125.0,106.3
42,Cincinnati,B12,17-13,18.34,112.4,94.1
43,Indiana,B10,17-12,17.27,121.0,103.8
44,San Diego St.,MWC,19-10,17.09,114.7,97.6
45,TCU,B12,20-10,16.96,114.3,97.3
46,New Mexico,MWC,22-7,16.63,117.0,100.4
47,VCU,A10,23-7,16.59,120.3,103.7
48,Oklahoma,SEC,16-14,16.24,123.5,107.3
49,UCF,B12,20-9,15.73,122.6,106.8
50,Missouri,SEC,20-10,15.65,120.0,104.3
51,Seton Hall,BE,20-10,15.48,109.9,94.5
52,Baylor,B12,15-14,15.47,122.5,107.1
53,South Florida,Amer,21-8,15.01,117.3,102.3
54,Washington,B10,14-15,14.76,116.6,101.8
55,Belmont,MVC,26-5,13.89,121.5,107.6
56,Tulsa,Amer,23-6,13.86,122.3,108.4
