region,seed,team,kenpom_rank,ken_pom_rating,off_rtg,def_rtg,adj_tempo,adjustments,adj_kempom_rtg
East,1,Duke,1,38.9,128,89.1,65.3,0.5,39.4
Midwest,1,Michigan,3,37.59,126.6,89,70.9,0.5,38.09
West,1,Arizona,2,37.66,127.7,90,69.8,,37.66
South,1,Florida,4,33.79,125.5,91.7,70.5,3,36.79
South,2,Houston,5,33.43,124.9,91.4,63.3,-1,32.43
Midwest,2,Iowa State,6,32.42,123.8,91.4,66.5,,32.42
South,3,Illinois,7,32.1,131.2,99.1,65.5,,32.1
West,2,Purdue,8,31.2,131.6,100.4,64.4,,31.2
South,5,Vanderbilt,12,27.51,126.8,99.3,68.8,1.5,29.01
East,2,UConn,11,27.87,122,94.1,64.4,0.5,28.37
West,3,Gonzaga,10,28.1,122,93.9,68.6,-1,27.1
Midwest,6,Tennessee,16,26.02,121.1,95,65,1,27.02
East,5,St. John's,17,25.91,120.1,94.2,69.6,1,26.91
Midwest,3,Virginia,13,26.71,122.5,95.8,65.7,,26.71
West,4,Arkansas,15,26.05,127.7,101.6,71,0.5,26.55
East,3,Michigan State,9,28.31,123,94.7,66,-2,26.31
West,5,Wisconsin,22,23.39,125.3,102,68.7,2,25.39
East,4,Kansas,21,24.44,118.3,93.9,67.6,0.5,24.94
East,8,Ohio State,26,22.24,124.3,102.1,66.1,2,24.24
South,4,Nebraska,14,26.16,118.5,92.4,66.7,-2,24.16
East,7,UCLA,27,21.67,123.7,102.1,64.6,2,23.67
West,6,BYU,23,23.25,125.5,102.2,69.9,,23.25
Midwest,4,Alabama,18,25.72,129,103.3,73.1,-2.5,23.22
South,7,Saint Mary's,24,23.07,120.3,97.2,65.2,,23.07
South,9,Iowa,25,22.44,121.7,99.3,63,,22.44
East,6,Louisville,19,25.42,124.1,98.6,69.6,-3,22.42
Midwest,5,Texas Tech,20,25.22,125,99.8,66.2,-3.5,21.72
West,7,Miami,31,20.68,121.4,100.7,67.6,1,21.68
Midwest,7,Kentucky,28,21.48,120.5,99,68.3,,21.48
South,6,North Carolina,29,20.84,121.4,100.5,67.9,,20.84
West,9,Utah State,30,20.76,122.1,101.4,67.7,,20.76
Midwest,8,Georgia,32,20.48,124.7,104.2,71.4,,20.48
Midwest,10,Santa Clara,35,19.4,123.6,104.2,69.2,,19.4
South,8,Clemson,36,19.24,116.5,97.3,64.2,,19.24
West,11,Texas,37,19.03,125,105.9,66.9,,19.03
Midwest,11,Miami OH,93,8.26,116.8,108.5,69.9,,8.26
South,10,Texas A&M,39,18.67,119.7,101,70.5,-1,17.67
East,9,TCU,43,17.59,115.4,97.8,67.7,,17.59
East,11,South Florida,47,16.39,117.3,100.9,71.5,1,17.39
Midwest,9,Saint Louis,41,18.32,119.5,101.2,71,-1,17.32
South,11,VCU,45,17.21,119.9,102.7,68.5,,17.21
West,10,Missouri,52,15.39,119.5,104.1,66.2,1,16.39
West,8,Villanova,33,19.97,120.4,100.4,65.2,-4,15.97
East,10,UCF,54,15.04,120.5,105.4,69.2,-1,14.04
Midwest,12,Akron,64,12.8,118.8,106,70.3,,12.8
South,12,McNeese State,68,12.48,114.3,101.8,66.2,,12.48
East,12,Northern Iowa,72,11.81,110,98.2,62.3,,11.81
Midwest,13,Hofstra,87,9.49,114.6,105.1,64.7,-1,8.49
West,12,High Point,92,8.4,117,108.6,69.9,,8.4
East,14,North Dakota State,113,5.13,111.7,106.6,66.3,,5.13
East,13,Cal Baptist,106,5.99,107.9,101.9,65.8,-1,4.99
West,13,Hawaii,108,5.97,107.1,101.2,69.7,-1,4.97
South,15,Idaho,145,1.53,108.8,107.3,67.7,,1.53
Midwest,14,Wright State,140,2.04,112.1,110,67.2,-1,1.04
South,13,Troy,143,1.72,110.7,109,64.9,-1,0.72
West,14,Kennesaw State,163,0.57,110.6,110.1,71.2,,0.57
South,14,Penn,150,1.47,107.4,105.9,69,-2,-0.53
Midwest,15,Tennessee State,187,-1.83,109.1,110.9,70.2,1,-0.83
East,15,Furman,191,-1.98,107.5,109.4,65.9,1,-0.98
West,15,Queens,181,-1.44,115.8,117.2,69.6,,-1.44
Midwest,16,UMBC,185,-1.67,108.2,109.9,66.2,,-1.67
East,16,Siena,193,-2.1,107.1,109.2,64.6,,-2.1
West,16,LIU,216,-3.95,105.6,109.6,67.8,-2,-5.95
South,16,Prairie View A&M,288,-10.69,101.2,111.9,70.9,,-10.69
