rank,team,conf,record,adj_em,adj_o,adj_d
1,Duke,ACC,28-2,40.86,128.8,87.9
2,Michigan,B10,27-2,39.5,128.4,88.9
3,Arizona,B12,28-2,37.63,126.6,89.0
4,Florida,SEC,23-6,35.03,125.8,90.8
5,Illinois,B10,22-7,33.12,132.3,99.2
6,Houston,B12,24-5,32.67,125.2,92.6
7,Purdue,B10,22-7,30.2,129.7,99.5
8,Michigan St.,B10,24-5,29.8,122.1,92.3
9,Iowa St.,B12,24-6,29.75,123.1,93.4
10,Connecticut,BE,27-3,29.27,123.5,94.2
11,Nebraska,B10,25-4,28.32,120.4,92.1
12,Gonzaga,WCC,28-3,28.27,122.4,94.1
13,Texas Tech,B12,22-7,27.66,126.5,98.9
14,Alabama,SEC,22-7,26.55,129.6,103.0
15,Vanderbilt,SEC,22-7,26.54,125.3,98.8
16,Kansas,B12,21-8,26.32,120.3,94.0
17,Virginia,ACC,25-4,26.24,122.3,96.1
18,Tennessee,SEC,20-9,26.01,121.0,95.0
19,Louisville,ACC,20-9,25.89,124.7,98.8
20,Arkansas,SEC,21-8,25.52,128.0,102.5
21,St. John's,BE,23-6,24.76,119.7,95.0
22,Saint Mary's,WCC,27-4,23.61,120.6,97.0
23,BYU,B12,20-9,23.35,126.0,102.7
24,Iowa,B10,20-9,22.19,122.0,99.8
25,Kentucky,SEC,19-10,22.03,121.1,99.1
26,Utah St.,MWC,24-5,21.77,123.4,101.6
27,Saint Louis,A10,26-3,21.69,120.9,99.2
28,North Carolina,ACC,23-6,21.27,122.3,101.0
29,Texas,SEC,18-11,21.04,127.3,106.3
30,Wisconsin,B10,20-9,21.01,123.7,102.7
31,Miami FL,ACC,23-6,20.52,120.7,100.1
32,Georgia,SEC,20-9,20.5,124.9,104.4
33,N.C. State,ACC,19-11,20.14,123.1,102.9
34,Villanova,BE,22-7,20.09,120.6,100.6
35,Ohio St.,B10,18-11,20.07,123.2,103.1
36,Clemson,ACC,21-8,19.51,116.4,96.9
37,Santa Clara,WCC,24-7,19.48,122.8,103.4
38,Texas A&M,SEC,19-10,19.23,120.5,101.2
39,SMU,ACC,19-10,18.72,124.9,106.2
40,Auburn,SEC,15-14,18.66,125.6,107.0
41,UCLA,B10,19-10,18.6,122.3,103.7
42,San Diego St.,MWC,19-9,17.74,114.5,96.7
43,Indiana,B10,17-12,17.25,121.0,103.7
44,Cincinnati,B12,16-13,17.2,111.7,94.5
45,VCU,A10,22-7,16.98,120.6,103.6
46,New Mexico,MWC,22-7,16.74,117.1,100.4
47,Missouri,SEC,20-9,16.37,120.6,104.2
48,UCF,B12,20-8,16.3,122.6,106.3
49,TCU,B12,19-10,15.58,113.7,98.1
50,Oklahoma,SEC,15-14,15.47,123.4,107.9
51,Baylor,B12,15-14,15.42,122.4,107.0
52,South Florida,Amer,21-8,15.05,117.4,102.3
53,Seton Hall,BE,19-10,14.97,109.3,94.3
54,Washington,B10,14-15,14.7,116.6,101.9
55,Belmont,MVC,26-5,13.9,121.5,107.6
56,Tulsa,Amer,23-6,13.88,122.3,108.4
57,Virginia Tech,ACC,18-11,13.87,117.1,103.3
58,LSU,SEC,15-14,13.67,120.2,106.6
59,West Virginia,B12,17-12,13.43,111.7,98.3
60,Boise St.,MWC,18-11,13.35,116.9,103.5
