"Entry_Name","Entry_ID","Previous_Picks","Pick_1","Team_Name"
"Entry 1","019d02b8-c215-4033-98c7-31d56a0223ce","Illinois","5ea7c1aa-0bfc-47e8-8435-28821e1bf209","Arizona"
"Entry 2","019d02b8-c215-404f-8b82-936991a71ce9","Illinois","5ea7c1aa-0bfc-47e8-8435-28821e1bf209","Arizona"
"Entry 3","019d02b8-c215-408c-ae2f-0d8c18fcaa8a","Gonzaga","77e8940e-cb31-42c7-bca0-271249909a4b","Kansas"
"Entry 4","019d02b8-c215-4194-b81a-80166978d89b","Louisville","840e7069-b4c0-4780-8cd1-95b66ad88ceb","Virginia"
"Entry 5","019d02b8-c215-4242-bb4f-4eda8366d212","Duke","b94a5674-927b-4b6d-91bb-776da741e0aa","Purdue"
"Entry 6","019d02b8-c215-432a-a57c-ba02614c9405","Arkansas","b94a5674-927b-4b6d-91bb-776da741e0aa","Purdue"
"Entry 7","019d02b8-c215-4492-8266-57cda909918c","Michigan State","b94a5674-927b-4b6d-91bb-776da741e0aa","Purdue"
"Entry 8","019d02b8-c215-48b1-958a-13e18f538111","Gonzaga","1e4ab2a3-cec8-4ebd-96a2-7d62e9e1a24e","Tennessee"
"Entry 9","019d02b8-c215-4906-8b41-8420ed46ff01","Arkansas","b94a5674-927b-4b6d-91bb-776da741e0aa","Purdue"
"Entry 10","019d02b8-c215-4a18-b7ca-6dcd069b8904","Arkansas","b94a5674-927b-4b6d-91bb-776da741e0aa","Purdue"
"Entry 11","019d02b8-c215-4beb-83a2-b4537374c187","Arkansas","b94a5674-927b-4b6d-91bb-776da741e0aa","Purdue"
"Entry 12","019d02b8-c215-4c00-90c1-fdeb5c8607e7","Vanderbilt","77e8940e-cb31-42c7-bca0-271249909a4b","Kansas"
"Entry 13","019d02b8-c215-4c84-b218-e148689f66f5","Illinois","b94a5674-927b-4b6d-91bb-776da741e0aa","Purdue"
"Entry 14","019d02b8-c215-4ce0-a4e0-0051e07ca63d","Duke","b94a5674-927b-4b6d-91bb-776da741e0aa","Purdue"
"Entry 15","019d02b8-c215-4d67-9559-1d5f4f60e40d","Gonzaga","12207ee4-a390-477d-a4a7-7aa3f49430aa","Alabama"
"Entry 16","019d02b8-c215-4dfa-aca3-520e518c3d6a","Arkansas","b94a5674-927b-4b6d-91bb-776da741e0aa","Purdue"
