"Entry_Name","Entry_ID","Previous_Picks","Pick_1","Team_Name"
"Entry 1","019d0328-e06f-4004-bd56-9800f450e208","Arkansas","72cd0c03-59cd-42e9-a938-d741e77e6bae","Nebraska"
"Entry 2","019d0328-e06f-400b-8784-c7b9921f2379","Arkansas","9d2884f6-0a5a-424f-9e32-79546f103184","Texas"
"Entry 3","019d0328-e06f-401d-834d-f29b6beacd1e","Arkansas","5ea7c1aa-0bfc-47e8-8435-28821e1bf209","Arizona"
"Entry 4","019d0328-e06f-401d-be3b-d3329a0c5305","Arkansas","72cd0c03-59cd-42e9-a938-d741e77e6bae","Nebraska"
"Entry 5","019d0328-e06f-4072-b130-5db841c713ca","Arkansas","72cd0c03-59cd-42e9-a938-d741e77e6bae","Nebraska"
"Entry 6","019d0328-e06f-4096-a278-75b365725dec","Arkansas","72cd0c03-59cd-42e9-a938-d741e77e6bae","Nebraska"
"Entry 7","019d0328-e06f-40ac-8ded-6e846f416889","Arkansas","72cd0c03-59cd-42e9-a938-d741e77e6bae","Nebraska"
"Entry 8","019d0328-e06f-40ac-8fb5-19503c55027a","Arkansas","840e7069-b4c0-4780-8cd1-95b66ad88ceb","Virginia"
"Entry 9","019d0328-e06f-40be-b8e6-ac80f7d9bea6","Arkansas","57ef2016-6591-4b7a-b588-59a749c25529","UConn"
"Entry 10","019d0328-e06f-40e2-8885-f21286d344da","Arkansas","9d2884f6-0a5a-424f-9e32-79546f103184","Texas"
"Entry 11","019d0328-e06f-40fe-bf26-e38b13ac0521","Arkansas","b94a5674-927b-4b6d-91bb-776da741e0aa","Purdue"
"Entry 12","019d0328-e06f-4102-9ae3-d72d61cfb749","Arkansas","72cd0c03-59cd-42e9-a938-d741e77e6bae","Nebraska"
"Entry 13","019d0328-e06f-411a-af9d-e65e4343891a","Arkansas","7533674c-1b62-4252-9d3e-3de38e7fd3c6","Iowa"
"Entry 14","019d0328-e06f-411f-8dae-9bfa6a02d1f6","Arkansas","7095cbb4-4c8d-4438-acf1-b0dcea0f20d1","UCLA"
"Entry 15","019d0328-e06f-4124-badc-00d219fddadf","Arkansas","72cd0c03-59cd-42e9-a938-d741e77e6bae","Nebraska"
"Entry 16","019d0328-e06f-4145-9346-3153fd362f67","Arkansas","72cd0c03-59cd-42e9-a938-d741e77e6bae","Nebraska"
"Entry 17","019d0328-e06f-414a-b57c-164c02d4b3e6","Arkansas","9d2884f6-0a5a-424f-9e32-79546f103184","Texas"
"Entry 18","019d0328-e06f-41d9-b0e6-de52496345df","Arkansas","9d2884f6-0a5a-424f-9e32-79546f103184","Texas"
"Entry 19","019d0328-e06f-41fd-80cc-38a4ee237909","Illinois","5ea7c1aa-0bfc-47e8-8435-28821e1bf209","Arizona"
"Entry 20","019d0328-e06f-421d-aa03-eb27539be19e","Houston","5ea7c1aa-0bfc-47e8-8435-28821e1bf209","Arizona"
"Entry 21","019d0328-e06f-422e-82c1-03dfa423a4cd","Arkansas","9d2884f6-0a5a-424f-9e32-79546f103184","Texas"
"Entry 22","019d0328-e06f-4245-b459-38eabd793b66","Arkansas","9d2884f6-0a5a-424f-9e32-79546f103184","Texas"
