"Entry_Name","Entry_ID","Previous_Picks","Pick_1","Team_Name"
"Entry 1","019d02b9-8d03-4040-86eb-5b3084254fee","Arkansas","72cd0c03-59cd-42e9-a938-d741e77e6bae","Nebraska"
"Entry 2","019d02b9-8d03-4085-88a0-d3bb811a6d7b","Arkansas","b94a5674-927b-4b6d-91bb-776da741e0aa","Purdue"
"Entry 3","019d02b9-8d03-4203-a3ce-d7eb082a216f","Arkansas","840e7069-b4c0-4780-8cd1-95b66ad88ceb","Virginia"
"Entry 4","019d02b9-8d03-420e-b90e-d4ad501a3d7f","Arkansas","72cd0c03-59cd-42e9-a938-d741e77e6bae","Nebraska"
"Entry 5","019d02b9-8d03-4213-b62e-59945ddc7b47","Arkansas","77e8940e-cb31-42c7-bca0-271249909a4b","Kansas"
"Entry 6","019d02b9-8d03-4256-a1f5-d3ece13d14ed","Arkansas","7c049b43-d637-406d-b50f-5e4a2beb629a","St. John's"
"Entry 7","019d02b9-8d03-42a1-93ab-f8afa460f7ad","Arkansas","57ef2016-6591-4b7a-b588-59a749c25529","UConn"
"Entry 8","019d02b9-8d03-42be-8122-0c43f26e4a33","Arkansas","5ea7c1aa-0bfc-47e8-8435-28821e1bf209","Arizona"
"Entry 9","019d02b9-8d03-4342-93e4-a3d735830520","Arkansas","7095cbb4-4c8d-4438-acf1-b0dcea0f20d1","UCLA"
"Entry 10","019d02b9-8d03-436d-b4b8-6debd1a25672","Arkansas","7533674c-1b62-4252-9d3e-3de38e7fd3c6","Iowa"
"Entry 11","019d02b9-8d03-4378-a8e9-a98dbd55fd43","Arkansas","1e4ab2a3-cec8-4ebd-96a2-7d62e9e1a24e","Tennessee"
"Entry 12","019d02b9-8d03-448b-8c4c-3d5738250a19","Arkansas","12207ee4-a390-477d-a4a7-7aa3f49430aa","Alabama"
"Entry 13","019d02b9-8d03-451a-8f59-b3588cd4f8c5","Arkansas","b46ec7e5-fa6c-451f-945e-5e535024bcc4","Iowa State"
"Entry 14","019d02b9-8d03-4575-af53-f91a14878c1d","Arkansas","72cd0c03-59cd-42e9-a938-d741e77e6bae","Nebraska"
"Entry 15","019d02b9-8d03-46b4-84d8-69e0a2d6fa86","Arkansas","5ea7c1aa-0bfc-47e8-8435-28821e1bf209","Arizona"
"Entry 16","019d02b9-8d03-46bc-9292-bcb450fd511c","Arkansas","b94a5674-927b-4b6d-91bb-776da741e0aa","Purdue"
"Entry 17","019d02b9-8d03-4703-a74d-c454792c9e08","Arkansas","77e8940e-cb31-42c7-bca0-271249909a4b","Kansas"
"Entry 18","019d02b9-8d03-472f-9a77-bdfdae1758e9","Arkansas","1e4ab2a3-cec8-4ebd-96a2-7d62e9e1a24e","Tennessee"
"Entry 19","019d02b9-8d03-4795-a279-baf937585e01","Arkansas","72cd0c03-59cd-42e9-a938-d741e77e6bae","Nebraska"
"Entry 20","019d02b9-8d03-4881-a13e-b3929e95a941","Arkansas","b94a5674-927b-4b6d-91bb-776da741e0aa","Purdue"
"Entry 21","019d02b9-8d03-48b7-91d5-2c5b3d5c71dd","Arkansas","72cd0c03-59cd-42e9-a938-d741e77e6bae","Nebraska"
"Entry 22","019d02b9-8d03-48f8-a870-e2f26bc637d6","Arkansas","7533674c-1b62-4252-9d3e-3de38e7fd3c6","Iowa"
"Entry 23","019d02b9-8d03-4a8a-a00a-91f37652b031","Arkansas","77e8940e-cb31-42c7-bca0-271249909a4b","Kansas"
"Entry 24","019d02b9-8d03-4b72-8d93-f4e8d8290b4d","Arkansas","7c049b43-d637-406d-b50f-5e4a2beb629a","St. John's"
"Entry 25","019d02b9-8d03-4cd5-9d19-f440c9b4f384","Arkansas","57ef2016-6591-4b7a-b588-59a749c25529","UConn"
"Entry 26","019d02b9-8d03-4d48-b425-8f7061fd9840","Arkansas","5ea7c1aa-0bfc-47e8-8435-28821e1bf209","Arizona"
"Entry 27","019d02b9-8d03-4dcd-90cd-92331f73a19d","Arkansas","7095cbb4-4c8d-4438-acf1-b0dcea0f20d1","UCLA"
"Entry 28","019d02b9-8d03-4de8-b67e-02196ac9c117","Arkansas","7533674c-1b62-4252-9d3e-3de38e7fd3c6","Iowa"
"Entry 29","019d02b9-8d03-4e6a-96c6-9dfcc6cc1a08","Arkansas","1e4ab2a3-cec8-4ebd-96a2-7d62e9e1a24e","Tennessee"
"Entry 30","019d02b9-8d03-4e8f-b42a-11281b151e22","Arkansas","72cd0c03-59cd-42e9-a938-d741e77e6bae","Nebraska"
"Entry 31","019d02b9-8d03-4f68-804c-4736bf1e48bf","Arkansas","7533674c-1b62-4252-9d3e-3de38e7fd3c6","Iowa"
"Entry 32","019d02b9-8d03-4f81-8401-39ba821476a9","Arkansas","72cd0c03-59cd-42e9-a938-d741e77e6bae","Nebraska"
"Entry 33","019d02b9-8d03-4ff1-9101-a5d3d90b098d","Arkansas","7533674c-1b62-4252-9d3e-3de38e7fd3c6","Iowa"
