"Entry_Name","Entry_ID","Previous_Picks","Pick_1","Team_Name"
"Entry 1","019d032e-17ac-400f-82e8-6a9b4f536cb9","Houston","9d2884f6-0a5a-424f-9e32-79546f103184","Texas"
"Entry 2","019d032e-17ac-4018-ba12-b2b717eb5740","Michigan","b94a5674-927b-4b6d-91bb-776da741e0aa","Purdue"
"Entry 3","019d032e-17ac-409d-a4a3-bedc1db0ce97","Houston","9d2884f6-0a5a-424f-9e32-79546f103184","Texas"
"Entry 4","019d032e-17ac-40f9-823a-0daae871f7c8","Houston","9d2884f6-0a5a-424f-9e32-79546f103184","Texas"
"Entry 5","019d032e-17ac-410e-a39f-ee9dd671e72b","Houston","415597f4-8ef0-450d-aa90-7392abd8169f","Arkansas"
"Entry 6","019d032e-17ac-4143-82a5-27dd37ce4641","Michigan","9d2884f6-0a5a-424f-9e32-79546f103184","Texas"
"Entry 7","019d032e-17ac-4165-a61f-8eb21f7c0fdb","Houston","9d2884f6-0a5a-424f-9e32-79546f103184","Texas"
"Entry 8","019d032e-17ac-416f-94a9-49ed32664106","Houston","1e4ab2a3-cec8-4ebd-96a2-7d62e9e1a24e","Tennessee"
"Entry 9","019d032e-17ac-4171-b5c6-2e89c8bb777f","Houston","9d2884f6-0a5a-424f-9e32-79546f103184","Texas"
"Entry 10","019d032e-17ac-418b-be86-f31c6fa13506","Houston","9d2884f6-0a5a-424f-9e32-79546f103184","Texas"
"Entry 11","019d032e-17ac-4198-aff8-4bb50c85eac5","Houston","9d2884f6-0a5a-424f-9e32-79546f103184","Texas"
"Entry 12","019d032e-17ac-41b1-a17f-7e1e3e8b94e1","Houston","9d2884f6-0a5a-424f-9e32-79546f103184","Texas"
"Entry 13","019d032e-17ac-41d9-8b9b-470c89671bee","Houston","b94a5674-927b-4b6d-91bb-776da741e0aa","Purdue"
"Entry 14","019d032e-17ac-41f6-82d7-1b5d7372f869","Arkansas","9d2884f6-0a5a-424f-9e32-79546f103184","Texas"
"Entry 15","019d032e-17ac-41fd-a0a2-0463cc16bc51","Arkansas","9d2884f6-0a5a-424f-9e32-79546f103184","Texas"
"Entry 16","019d032e-17ac-4229-9c65-8c44904cd26d","Houston","7533674c-1b62-4252-9d3e-3de38e7fd3c6","Iowa"
"Entry 17","019d032e-17ac-422c-9975-f33654c541f5","Arkansas","72cd0c03-59cd-42e9-a938-d741e77e6bae","Nebraska"
"Entry 18","019d032e-17ac-4238-b752-0e74a51f0e83","Arkansas","7533674c-1b62-4252-9d3e-3de38e7fd3c6","Iowa"
"Entry 19","019d032e-17ac-423b-848b-68fde836402b","Houston","9d2884f6-0a5a-424f-9e32-79546f103184","Texas"
"Entry 20","019d032e-17ac-425f-bbb9-29cf49c7682b","Arkansas","b94a5674-927b-4b6d-91bb-776da741e0aa","Purdue"
"Entry 21","019d032e-17ac-427b-aa7b-713dee808ace","Illinois","9d2884f6-0a5a-424f-9e32-79546f103184","Texas"
"Entry 22","019d032e-17ac-429a-9250-11a014d0a249","Arkansas","72cd0c03-59cd-42e9-a938-d741e77e6bae","Nebraska"
"Entry 23","019d032e-17ac-42a9-bbda-16d44dc0b040","Duke","b94a5674-927b-4b6d-91bb-776da741e0aa","Purdue"
"Entry 24","019d032e-17ac-42b9-92b9-ad28dbb0e0de","Illinois","b94a5674-927b-4b6d-91bb-776da741e0aa","Purdue"
"Entry 25","019d032e-17ac-42c3-b3cc-bd3064cd84af","Arkansas","9d2884f6-0a5a-424f-9e32-79546f103184","Texas"
"Entry 26","019d032e-17ac-4307-b325-39099bc14a62","Illinois","840e7069-b4c0-4780-8cd1-95b66ad88ceb","Virginia"
"Entry 27","019d032e-17ac-431c-badb-d2c2975c1bf0","Arkansas","9d2884f6-0a5a-424f-9e32-79546f103184","Texas"
"Entry 28","019d032e-17ac-431e-9a72-dbdbdab5f0e7","Michigan","7533674c-1b62-4252-9d3e-3de38e7fd3c6","Iowa"
"Entry 29","019d032e-17ac-4325-a128-4d9107a18b14","Michigan","7533674c-1b62-4252-9d3e-3de38e7fd3c6","Iowa"
"Entry 30","019d032e-17ac-4360-b242-c7ac69a067cc","Gonzaga","57ef2016-6591-4b7a-b588-59a749c25529","UConn"
"Entry 31","019d032e-17ac-4382-b65a-47a7753bbcb0","Michigan","9d2884f6-0a5a-424f-9e32-79546f103184","Texas"
"Entry 32","019d032e-17ac-4389-8b73-2b59ecbecabf","Gonzaga","b94a5674-927b-4b6d-91bb-776da741e0aa","Purdue"
"Entry 33","019d032e-17ac-43b2-9c7e-d433a244835b","Michigan","7533674c-1b62-4252-9d3e-3de38e7fd3c6","Iowa"
"Entry 34","019d032e-17ac-4409-a499-6372fd03adad","Gonzaga","2ea39297-9b1d-4908-b4dc-392274c18b3a","Florida"
"Entry 35","019d032e-17ac-4441-8e8a-6b0a4a039d0a","Arkansas","9d2884f6-0a5a-424f-9e32-79546f103184","Texas"
"Entry 36","019d032e-17ac-4460-95ab-7436e31fd63f","Gonzaga","840e7069-b4c0-4780-8cd1-95b66ad88ceb","Virginia"
"Entry 37","019d032e-17ac-446e-ad26-995e8ec2e05e","Arkansas","72cd0c03-59cd-42e9-a938-d741e77e6bae","Nebraska"
"Entry 38","019d032e-17ac-4485-8be0-dd05cc2f9969","Arkansas","9d2884f6-0a5a-424f-9e32-79546f103184","Texas"
"Entry 39","019d032e-17ac-448e-8345-98ccc776880e","Gonzaga","b46ec7e5-fa6c-451f-945e-5e535024bcc4","Iowa State"
"Entry 40","019d032e-17ac-449e-8026-218c8b58dd1f","Duke","7533674c-1b62-4252-9d3e-3de38e7fd3c6","Iowa"
"Entry 41","019d032e-17ac-44a1-a3ab-b3f35d470fda","Arkansas","9d2884f6-0a5a-424f-9e32-79546f103184","Texas"
"Entry 42","019d032e-17ac-44c3-ae76-a6850a92ae1d","Arkansas","9d2884f6-0a5a-424f-9e32-79546f103184","Texas"
"Entry 43","019d032e-17ac-4509-8520-5b1fd15a081d","Michigan","7533674c-1b62-4252-9d3e-3de38e7fd3c6","Iowa"
"Entry 44","019d032e-17ac-452d-a194-eb5e5e64cf39","Houston","7533674c-1b62-4252-9d3e-3de38e7fd3c6","Iowa"
