"Entry_Name","Entry_ID","Previous_Picks","Pick_1","Team_Name","Pick_2","Team_Name_2"
"Entry 1","019d02bb-f2a5-4007-9fc0-fe667b9ff079","Arkansas","7533674c-1b62-4252-9d3e-3de38e7fd3c6","Iowa",NA,NA
"Entry 2","019d02bb-f2a5-4049-b45c-e861f1cec474","Houston","7533674c-1b62-4252-9d3e-3de38e7fd3c6","Iowa",NA,NA
"Entry 3","019d02bb-f2a5-404c-a770-880295645c59","Arkansas","7533674c-1b62-4252-9d3e-3de38e7fd3c6","Iowa",NA,NA
"Entry 4","019d02bb-f2a5-4067-9c9b-1edb7346c5dc","Houston","7533674c-1b62-4252-9d3e-3de38e7fd3c6","Iowa",NA,NA
"Entry 5","019d02bb-f2a5-406d-83ae-023022a9bd8b","Arkansas","7533674c-1b62-4252-9d3e-3de38e7fd3c6","Iowa",NA,NA
"Entry 6","019d02bb-f2a5-408f-a53a-b34282c627fc","Arkansas","7533674c-1b62-4252-9d3e-3de38e7fd3c6","Iowa",NA,NA
"Entry 7","019d02bb-f2a5-4097-8ef9-fe56eda0f761","Houston","7533674c-1b62-4252-9d3e-3de38e7fd3c6","Iowa",NA,NA
"Entry 8","019d02bb-f2a5-409f-9cdf-7313a4c70261","Arkansas","7533674c-1b62-4252-9d3e-3de38e7fd3c6","Iowa",NA,NA
"Entry 9","019d02bb-f2a5-40c3-a79f-7211b8cbb2b5","Arkansas","7533674c-1b62-4252-9d3e-3de38e7fd3c6","Iowa",NA,NA
"Entry 10","019d02bb-f2a5-40d1-9607-4be3576d6a07","Houston","7533674c-1b62-4252-9d3e-3de38e7fd3c6","Iowa",NA,NA
"Entry 11","019d02bb-f2a5-4101-91b3-f5b4a069b4de",NA,"933a6b4e-07b9-47eb-a6fc-d8375a47eb8d","Missouri","1cc01e0d-7f2a-4b69-b8aa-701ef34287df","Villanova"
"Entry 12","019d02bb-f2a5-411f-b49d-627411a889fb",NA,"933a6b4e-07b9-47eb-a6fc-d8375a47eb8d","Missouri","1cc01e0d-7f2a-4b69-b8aa-701ef34287df","Villanova"
"Entry 13","019d02bb-f2a5-4127-87f0-f3e9459ef470",NA,"933a6b4e-07b9-47eb-a6fc-d8375a47eb8d","Missouri","bd55c7eb-7658-4eac-b14a-59dfd6d29e05","Utah State"
"Entry 14","019d02bb-f2a5-4129-82f6-37e037649210","Arkansas","7533674c-1b62-4252-9d3e-3de38e7fd3c6","Iowa",NA,NA
"Entry 15","019d02bb-f2a5-4157-af94-58b910371bee","Arkansas","7533674c-1b62-4252-9d3e-3de38e7fd3c6","Iowa",NA,NA
"Entry 16","019d02bb-f2a5-4168-a0a0-f0ff5d2b7b66",NA,"933a6b4e-07b9-47eb-a6fc-d8375a47eb8d","Missouri","57ef2016-6591-4b7a-b588-59a749c25529","UConn"
"Entry 17","019d02bb-f2a5-4172-be7f-3d1b586de828","Arkansas","7533674c-1b62-4252-9d3e-3de38e7fd3c6","Iowa",NA,NA
"Entry 18","019d02bb-f2a5-419c-80a9-62e2d8b8ee4e","Arkansas","7533674c-1b62-4252-9d3e-3de38e7fd3c6","Iowa",NA,NA
"Entry 19","019d02bb-f2a5-419e-8102-a9e2250f3b37","Arkansas","7533674c-1b62-4252-9d3e-3de38e7fd3c6","Iowa",NA,NA
"Entry 20","019d02bb-f2a5-419e-b47a-e2943b0dfcb6","Arkansas","b46ec7e5-fa6c-451f-945e-5e535024bcc4","Iowa State","b94a5674-927b-4b6d-91bb-776da741e0aa","Purdue"
"Entry 21","019d02bb-f2a5-41a1-bddd-759377f797ab","Arkansas","7533674c-1b62-4252-9d3e-3de38e7fd3c6","Iowa",NA,NA
"Entry 22","019d02bb-f2a5-41b2-91ef-279bbd759dca","Arkansas","7533674c-1b62-4252-9d3e-3de38e7fd3c6","Iowa",NA,NA
"Entry 23","019d02bb-f2a5-41b7-9d93-2657b1349caf","Arkansas","7533674c-1b62-4252-9d3e-3de38e7fd3c6","Iowa",NA,NA
"Entry 24","019d02bb-f2a5-41d7-a5e4-4b480810e8f9","Illinois","7533674c-1b62-4252-9d3e-3de38e7fd3c6","Iowa",NA,NA
"Entry 25","019d02bb-f2a5-4263-a5ae-8901287384fe","Arkansas","7533674c-1b62-4252-9d3e-3de38e7fd3c6","Iowa",NA,NA
"Entry 26","019d02bb-f2a5-426f-8f35-a243c88fd357","Arkansas","7533674c-1b62-4252-9d3e-3de38e7fd3c6","Iowa",NA,NA
"Entry 27","019d02bb-f2a5-428f-aab7-1b68f6368f15","Arkansas","5ea7c1aa-0bfc-47e8-8435-28821e1bf209","Arizona","b46ec7e5-fa6c-451f-945e-5e535024bcc4","Iowa State"
"Entry 28","019d02bb-f2a5-42a1-a3e1-4f35e92687b1","Arkansas","5ea7c1aa-0bfc-47e8-8435-28821e1bf209","Arizona","840e7069-b4c0-4780-8cd1-95b66ad88ceb","Virginia"
"Entry 29","019d02bb-f2a5-42a6-a7ce-06fd2f80970c","Arkansas","5ea7c1aa-0bfc-47e8-8435-28821e1bf209","Arizona","1e4ab2a3-cec8-4ebd-96a2-7d62e9e1a24e","Tennessee"
"Entry 30","019d02bb-f2a5-42a8-ba18-80ee6d26a85b","Arkansas","7533674c-1b62-4252-9d3e-3de38e7fd3c6","Iowa",NA,NA
"Entry 31","019d02bb-f2a5-42b4-abdd-7122c07af107","Michigan State","7533674c-1b62-4252-9d3e-3de38e7fd3c6","Iowa",NA,NA
"Entry 32","019d02bb-f2a5-42ef-baeb-5841a19a8189","Illinois","7533674c-1b62-4252-9d3e-3de38e7fd3c6","Iowa",NA,NA
"Entry 33","019d02bb-f2a5-42fe-99db-743438b723af","Houston","9d2884f6-0a5a-424f-9e32-79546f103184","Texas",NA,NA
"Entry 34","019d02bb-f2a5-4315-9c2d-a48fda37ec16","Houston","9d2884f6-0a5a-424f-9e32-79546f103184","Texas",NA,NA
"Entry 35","019d02bb-f2a5-4323-8f91-60f0a0c88ea3","Michigan","7533674c-1b62-4252-9d3e-3de38e7fd3c6","Iowa",NA,NA
"Entry 36","019d02bb-f2a5-4333-9bcb-cff75dfb3d00","Houston","9d2884f6-0a5a-424f-9e32-79546f103184","Texas",NA,NA
"Entry 37","019d02bb-f2a5-437e-abbf-87ffe8a24960","Houston","7533674c-1b62-4252-9d3e-3de38e7fd3c6","Iowa",NA,NA
"Entry 38","019d02bb-f2a5-4384-950b-1ccecab3d4b5","Michigan","9d2884f6-0a5a-424f-9e32-79546f103184","Texas",NA,NA
"Entry 39","019d02bb-f2a5-43bc-bc8e-11e9fcecda67","Duke","7533674c-1b62-4252-9d3e-3de38e7fd3c6","Iowa",NA,NA
"Entry 40","019d02bb-f2a5-43c9-a3b6-fc36daf5ba8c","Michigan","b46ec7e5-fa6c-451f-945e-5e535024bcc4","Iowa State","b94a5674-927b-4b6d-91bb-776da741e0aa","Purdue"
"Entry 41","019d02bb-f2a5-43f4-9451-c2f0b97602f6","Michigan","9d2884f6-0a5a-424f-9e32-79546f103184","Texas",NA,NA
"Entry 42","019d02bb-f2a5-43f8-9dbb-2c59dbed5217","Duke","9d2884f6-0a5a-424f-9e32-79546f103184","Texas",NA,NA
"Entry 43","019d02bb-f2a5-43ff-85c2-7587b6ba527d","Michigan","9d2884f6-0a5a-424f-9e32-79546f103184","Texas",NA,NA
"Entry 44","019d02bb-f2a5-440b-ab61-cba05340df50","Michigan","12207ee4-a390-477d-a4a7-7aa3f49430aa","Alabama","5ea7c1aa-0bfc-47e8-8435-28821e1bf209","Arizona"
"Entry 45","019d02bb-f2a5-441e-a1f3-a33300c32722","Michigan","9d2884f6-0a5a-424f-9e32-79546f103184","Texas",NA,NA
"Entry 46","019d02bb-f2a5-4446-a77a-027e144ed09a","Michigan","5ea7c1aa-0bfc-47e8-8435-28821e1bf209","Arizona","b46ec7e5-fa6c-451f-945e-5e535024bcc4","Iowa State"
"Entry 47","019d02bb-f2a5-444f-8af4-88aa621137fb","Duke","9d2884f6-0a5a-424f-9e32-79546f103184","Texas",NA,NA
