"Entry_Name","Entry_ID","Previous_Picks","Pick_1","Team_Name"
"Entry 1","019cfa24-5e71-4057-a12f-f0ab9b21b8d2","Gonzaga","4c8b8317-c6db-46d3-9e57-43cad4d49607","Miami (FL)"
"Entry 2","019cfa24-5e71-4324-8ae4-5a2f65ffa136","Illinois","57ef2016-6591-4b7a-b588-59a749c25529","UConn"
"Entry 3","019cfa24-5e71-437e-a581-814498bff588","Arkansas","77e8940e-cb31-42c7-bca0-271249909a4b","Kansas"
"Entry 4","019cfa24-5e71-448d-85f9-56015248fd7c","Arkansas","b94a5674-927b-4b6d-91bb-776da741e0aa","Purdue"
"Entry 5","019cfa24-5e71-44f9-b23d-e36b49b79eb8","Arkansas","57ef2016-6591-4b7a-b588-59a749c25529","UConn"
"Entry 6","019cfa24-5e71-47c7-a67a-db262c2118cc","Arkansas","b94a5674-927b-4b6d-91bb-776da741e0aa","Purdue"
"Entry 7","019cfa24-5e71-47f7-83d8-e0d87cedb5b6","Arkansas","b94a5674-927b-4b6d-91bb-776da741e0aa","Purdue"
"Entry 8","019cfa24-5e71-4d06-9d27-c4979fce67f9","Houston","7533674c-1b62-4252-9d3e-3de38e7fd3c6","Iowa"
"Entry 9","019cfa24-5e71-4e2f-93f1-3589bfa57ec3","Arkansas","44d666f4-2c56-401f-871c-33df244ba155","Texas Tech"
"Entry 10","019cfa24-5e71-4f43-9dc9-8b1471b673c7","Duke","72cd0c03-59cd-42e9-a938-d741e77e6bae","Nebraska"
