"Entry_Name","Entry_ID","Previous_Picks","Pick_1","Team_Name"
"Entry 1","019d02bb-54b9-40db-9c3b-bbf704a14b53","Arkansas","72cd0c03-59cd-42e9-a938-d741e77e6bae","Nebraska"
"Entry 2","019d02bb-54b9-410e-9489-33b422111a5e","Arkansas","7c049b43-d637-406d-b50f-5e4a2beb629a","St. John's"
"Entry 3","019d02bb-54b9-420b-a6b5-6b2f36949580","Arkansas","1e4ab2a3-cec8-4ebd-96a2-7d62e9e1a24e","Tennessee"
"Entry 4","019d02bb-54b9-42a2-92ac-9bd5658c01f6","Arkansas","12207ee4-a390-477d-a4a7-7aa3f49430aa","Alabama"
"Entry 5","019d02bb-54b9-43d8-94d3-5b3058d7e6b2","Arkansas","b94a5674-927b-4b6d-91bb-776da741e0aa","Purdue"
"Entry 6","019d02bb-54b9-4426-949c-6a18716b559f","Arkansas","840e7069-b4c0-4780-8cd1-95b66ad88ceb","Virginia"
"Entry 7","019d02bb-54b9-450c-b6dc-70f47cfff146","Arkansas","57ef2016-6591-4b7a-b588-59a749c25529","UConn"
"Entry 8","019d02bb-54b9-45fe-aa24-7ea612da3552","Arkansas","5ea7c1aa-0bfc-47e8-8435-28821e1bf209","Arizona"
"Entry 9","019d02bb-54b9-46af-9d59-06ed9aa8889e","Arkansas","77e8940e-cb31-42c7-bca0-271249909a4b","Kansas"
"Entry 10","019d02bb-54b9-46dc-9d45-671ca0d221ff","Arkansas","72cd0c03-59cd-42e9-a938-d741e77e6bae","Nebraska"
"Entry 11","019d02bb-54b9-47b0-b360-bd9c8fb1d81a","Arkansas","7c049b43-d637-406d-b50f-5e4a2beb629a","St. John's"
"Entry 12","019d02bb-54b9-47c2-8e3c-c5c3348e1553","Arkansas","b94a5674-927b-4b6d-91bb-776da741e0aa","Purdue"
"Entry 13","019d02bb-54b9-47f5-8119-0e1ebb3d8928","Arkansas","840e7069-b4c0-4780-8cd1-95b66ad88ceb","Virginia"
"Entry 14","019d02bb-54b9-4906-bd3a-4ddfb8da18a0","Arkansas","1e4ab2a3-cec8-4ebd-96a2-7d62e9e1a24e","Tennessee"
"Entry 15","019d02bb-54b9-49ea-b80e-cd9d7db612da","Arkansas","12207ee4-a390-477d-a4a7-7aa3f49430aa","Alabama"
"Entry 16","019d02bb-54b9-4a0f-85b7-6d3f2a5522db","Arkansas","57ef2016-6591-4b7a-b588-59a749c25529","UConn"
"Entry 17","019d02bb-54b9-4b20-82fc-c8efa64137cf","Arkansas","72cd0c03-59cd-42e9-a938-d741e77e6bae","Nebraska"
"Entry 18","019d02bb-54b9-4b3b-ad39-020a58fd0b5c","Arkansas","72cd0c03-59cd-42e9-a938-d741e77e6bae","Nebraska"
"Entry 19","019d02bb-54b9-4c82-a134-2688039a399c","Illinois","840e7069-b4c0-4780-8cd1-95b66ad88ceb","Virginia"
"Entry 20","019d02bb-54b9-4c86-9ad1-baccded50c8a","Houston","b46ec7e5-fa6c-451f-945e-5e535024bcc4","Iowa State"
"Entry 21","019d02bb-54b9-4e45-9424-b62e494b7724","Houston","b46ec7e5-fa6c-451f-945e-5e535024bcc4","Iowa State"
"Entry 22","019d02bb-54b9-4e65-9685-c25ec5e38b84","Illinois","b94a5674-927b-4b6d-91bb-776da741e0aa","Purdue"
"Entry 23","019d02bb-54b9-4faa-a053-d48b69270663","Illinois","5ea7c1aa-0bfc-47e8-8435-28821e1bf209","Arizona"
