"Entry_Name","Entry_ID","Previous_Picks","Pick_1","Team_Name"
"Entry 1","019d02bd-0e4b-400a-b8dc-3c0c23fc5597","Arkansas","57ef2016-6591-4b7a-b588-59a749c25529","UConn"
"Entry 2","019d02bd-0e4b-4010-904c-42990deaf6a9","Arkansas","9d2884f6-0a5a-424f-9e32-79546f103184","Texas"
"Entry 3","019d02bd-0e4b-4042-82a0-7cfd4f2e139f","Arkansas","72cd0c03-59cd-42e9-a938-d741e77e6bae","Nebraska"
"Entry 4","019d02bd-0e4b-4049-b65c-e074d73c24b5","Arkansas","9d2884f6-0a5a-424f-9e32-79546f103184","Texas"
"Entry 5","019d02bd-0e4b-404c-918a-5a89e33e9da2","Arkansas","72cd0c03-59cd-42e9-a938-d741e77e6bae","Nebraska"
"Entry 6","019d02bd-0e4b-407c-8bcc-6a87bfb1c358","Arkansas","72cd0c03-59cd-42e9-a938-d741e77e6bae","Nebraska"
"Entry 7","019d02bd-0e4b-4087-9bc3-718ff3d9b502","Arkansas","840e7069-b4c0-4780-8cd1-95b66ad88ceb","Virginia"
"Entry 8","019d02bd-0e4b-40a0-82ed-8f85a32474b9","Arkansas","9d2884f6-0a5a-424f-9e32-79546f103184","Texas"
"Entry 9","019d02bd-0e4b-40b5-b34d-522d268fea6a","Arkansas","1e4ab2a3-cec8-4ebd-96a2-7d62e9e1a24e","Tennessee"
"Entry 10","019d02bd-0e4b-40c2-905d-daff8306b87f","Arkansas","72cd0c03-59cd-42e9-a938-d741e77e6bae","Nebraska"
"Entry 11","019d02bd-0e4b-40e1-bf48-080568da4048","Arkansas","7c049b43-d637-406d-b50f-5e4a2beb629a","St. John's"
"Entry 12","019d02bd-0e4b-410e-bdae-e6d5b2ed6ee8","Arkansas","72cd0c03-59cd-42e9-a938-d741e77e6bae","Nebraska"
"Entry 13","019d02bd-0e4b-4116-84ac-4cc7ba0eaa3b","Arkansas","b46ec7e5-fa6c-451f-945e-5e535024bcc4","Iowa State"
"Entry 14","019d02bd-0e4b-4119-89bc-7e3bd1af6a68","Arkansas","4c8b8317-c6db-46d3-9e57-43cad4d49607","Miami (FL)"
"Entry 15","019d02bd-0e4b-4123-b019-925630ca234e","Arkansas","57ef2016-6591-4b7a-b588-59a749c25529","UConn"
"Entry 16","019d02bd-0e4b-4126-9bff-d9746a2eac84","Houston","57ef2016-6591-4b7a-b588-59a749c25529","UConn"
"Entry 17","019d02bd-0e4b-4161-ab67-9f33f1d85e65","Illinois","57ef2016-6591-4b7a-b588-59a749c25529","UConn"
"Entry 18","019d02bd-0e4b-4183-b966-fd27d2d356e1","Michigan","57ef2016-6591-4b7a-b588-59a749c25529","UConn"
"Entry 19","019d02bd-0e4b-4188-9ff6-93aa527a9ede","Arkansas","72cd0c03-59cd-42e9-a938-d741e77e6bae","Nebraska"
