"Entry_Name","Entry_ID","Previous_Picks","Pick_1","Team_Name"
"Entry 1","019d00e8-ef29-402c-b734-7b0d7c77d560","Arkansas","72cd0c03-59cd-42e9-a938-d741e77e6bae","Nebraska"
"Entry 2","019d00e8-ef29-4091-980a-0320b4e67f45","Gonzaga","57ef2016-6591-4b7a-b588-59a749c25529","UConn"
"Entry 3","019d00e8-ef29-4119-adef-2398bfc25b02","Gonzaga","1e4ab2a3-cec8-4ebd-96a2-7d62e9e1a24e","Tennessee"
"Entry 4","019d00e8-ef29-4499-bd93-cb0465874894","Gonzaga","840e7069-b4c0-4780-8cd1-95b66ad88ceb","Virginia"
"Entry 5","019d00e8-ef29-45a4-89fe-f8b777d21a27","Gonzaga","7c049b43-d637-406d-b50f-5e4a2beb629a","St. John's"
"Entry 6","019d00e8-ef29-45f9-9168-6cf48fa30540","Gonzaga","57ef2016-6591-4b7a-b588-59a749c25529","UConn"
"Entry 7","019d00e8-ef29-46ba-ba0b-9e1a03a1284f","Gonzaga","77e8940e-cb31-42c7-bca0-271249909a4b","Kansas"
"Entry 8","019d00e8-ef29-46c4-a30d-b5579a3ff74c","Gonzaga","840e7069-b4c0-4780-8cd1-95b66ad88ceb","Virginia"
"Entry 9","019d00e8-ef29-4750-971c-9d2410fe1474","Gonzaga","57ef2016-6591-4b7a-b588-59a749c25529","UConn"
"Entry 10","019d00e8-ef29-496e-aad4-82d9c566fff4","Arkansas","72cd0c03-59cd-42e9-a938-d741e77e6bae","Nebraska"
"Entry 11","019d00e8-ef29-4ae7-85d5-8e76ba4f373a","Vanderbilt","77e8940e-cb31-42c7-bca0-271249909a4b","Kansas"
"Entry 12","019d00e8-ef29-4bb6-843e-4076ea49bbee","Gonzaga","840e7069-b4c0-4780-8cd1-95b66ad88ceb","Virginia"
"Entry 13","019d00e8-ef29-4bf9-baa6-dfadf9461242","Gonzaga","1e4ab2a3-cec8-4ebd-96a2-7d62e9e1a24e","Tennessee"
"Entry 14","019d00e8-ef29-4d26-ad7b-562b2353b929","Gonzaga","1e4ab2a3-cec8-4ebd-96a2-7d62e9e1a24e","Tennessee"
"Entry 15","019d00e8-ef29-4d6e-8d90-132bf45fe021","Arkansas","72cd0c03-59cd-42e9-a938-d741e77e6bae","Nebraska"
"Entry 16","019d00e8-ef29-4e24-af13-2d871d709b89","Arkansas","72cd0c03-59cd-42e9-a938-d741e77e6bae","Nebraska"
"Entry 17","019d00e8-ef29-4f17-89e6-c6205be9389b","Gonzaga","b46ec7e5-fa6c-451f-945e-5e535024bcc4","Iowa State"
"Entry 18","019d00e8-ef29-4f82-8721-27e11cba758e","Vanderbilt","77e8940e-cb31-42c7-bca0-271249909a4b","Kansas"
"Entry 19","019d00e8-ef29-4fee-b2a8-33e49c97ba02","Gonzaga","1e4ab2a3-cec8-4ebd-96a2-7d62e9e1a24e","Tennessee"
"Entry 20","019d00e8-ef2a-45d2-9037-9a16c89b8e6c","Arkansas","57ef2016-6591-4b7a-b588-59a749c25529","UConn"
"Entry 21","019d00e8-ef2a-4715-ae5f-d46309fc75b8","Illinois","b94a5674-927b-4b6d-91bb-776da741e0aa","Purdue"
"Entry 22","019d00e8-ef2a-4835-a7a2-07bae3826f0e","Michigan State","840e7069-b4c0-4780-8cd1-95b66ad88ceb","Virginia"
"Entry 23","019d00e8-ef2a-4b9d-82a8-dd7f93a10698","Illinois","12207ee4-a390-477d-a4a7-7aa3f49430aa","Alabama"
"Entry 24","019d00e8-ef2a-4c16-8f40-602edf219d9a","Arkansas","57ef2016-6591-4b7a-b588-59a749c25529","UConn"
"Entry 25","019d00e8-ef2a-4f29-b257-d0723fac9e52","Arkansas","72cd0c03-59cd-42e9-a938-d741e77e6bae","Nebraska"
