"Entry_Name","Entry_ID","Previous_Picks","Pick_1","Team_Name"
"Entry 1","019d02ba-61bd-43c6-9d49-0bf90d579364","Illinois","b94a5674-927b-4b6d-91bb-776da741e0aa","Purdue"
"Entry 2","019d02ba-61bd-457b-889b-23b94e31a972","Arkansas","7533674c-1b62-4252-9d3e-3de38e7fd3c6","Iowa"
"Entry 3","019d02ba-61bd-47b8-a5d8-de0368869459","Illinois","72cd0c03-59cd-42e9-a938-d741e77e6bae","Nebraska"
"Entry 4","019d02ba-61bd-4974-acab-6847f7cafaf9","Illinois","72cd0c03-59cd-42e9-a938-d741e77e6bae","Nebraska"
"Entry 5","019d02ba-61bd-4b43-8470-00be8c8c2a1c","Michigan","7533674c-1b62-4252-9d3e-3de38e7fd3c6","Iowa"
"Entry 6","019d02ba-61bd-4c06-a456-0333b282264c","Arkansas","b94a5674-927b-4b6d-91bb-776da741e0aa","Purdue"
"Entry 7","019d02ba-61bd-4d16-aee3-503787a92058","Arkansas","b94a5674-927b-4b6d-91bb-776da741e0aa","Purdue"
"Entry 8","019d02ba-61bd-4f24-9fb3-9d440d77d0d1","Michigan","7533674c-1b62-4252-9d3e-3de38e7fd3c6","Iowa"
"Entry 9","019d02ba-61bd-4f85-888d-f7f98c7a9805","Arkansas","b94a5674-927b-4b6d-91bb-776da741e0aa","Purdue"
"Entry 10","019d02ba-61bd-4fe9-8693-3f900839ac0e","Arkansas","b94a5674-927b-4b6d-91bb-776da741e0aa","Purdue"
