Slate ID,Entry Name,Entry ID,Previous Picks,Day 1 (Round of 64),Day 2 (Round of 64),Day 3 (Round of 32),Day 4 (Round of 32),Pick 1,Pick Objective,Instructions,Team Name,Team ID,Game Info
7c5e0cba-a922-4a64-9565-7c960935f12f,Entry 1,019d07ed-4f8e-4030-939e-3184c5da121a,NA,Gonzaga,Florida,Arkansas,Iowa State,72cd0c03-59cd-42e9-a938-d741e77e6bae,Pick Winners,1. Locate the team(s) you want to select in the list to the right,Purdue,b94a5674-927b-4b6d-91bb-776da741e0aa,TEX@PUR 03/26/2026 7:10pm ET
7c5e0cba-a922-4a64-9565-7c960935f12f,Entry 2,019d07ed-4f8e-407b-8c22-d5d5456de8f3,NA,Gonzaga,Florida,Arkansas,Arizona,7533674c-1b62-4252-9d3e-3de38e7fd3c6,Pick Winners,2. Copy the ID of the team(s),Texas,9d2884f6-0a5a-424f-9e32-79546f103184,TEX@PUR 03/26/2026 7:10pm ET
7c5e0cba-a922-4a64-9565-7c960935f12f,Entry 3,019d07ed-4f8e-41bf-a16a-034b31f2acbf,NA,Gonzaga,Florida,Arkansas,Arizona,7533674c-1b62-4252-9d3e-3de38e7fd3c6,Pick Winners,3. Paste the ID into the desired entry under the Pick column,Nebraska,72cd0c03-59cd-42e9-a938-d741e77e6bae,IOWA@NEB 03/26/2026 7:30pm ET
7c5e0cba-a922-4a64-9565-7c960935f12f,Entry 4,019d07ed-4f8e-4409-a60b-b890bf7da01e,NA,Gonzaga,Florida,Illinois,Iowa State,b94a5674-927b-4b6d-91bb-776da741e0aa,Pick Winners,4. The Team ID is the only text that can be input into the cell,Iowa,7533674c-1b62-4252-9d3e-3de38e7fd3c6,IOWA@NEB 03/26/2026 7:30pm ET
7c5e0cba-a922-4a64-9565-7c960935f12f,Entry 5,019d07ed-4f8e-45b9-a6ff-20587568b457,NA,Gonzaga,Florida,Michigan,Iowa State,b94a5674-927b-4b6d-91bb-776da741e0aa,Pick Winners,"5. Do not make edits anywhere in the sheet, or else the file will be invalid",Arizona,5ea7c1aa-0bfc-47e8-8435-28821e1bf209,ARK@ARIZ 03/26/2026 9:45pm ET
7c5e0cba-a922-4a64-9565-7c960935f12f,Entry 6,019d07ed-4f8e-49ac-a061-65d61d750c2b,NA,Gonzaga,Florida,Houston,Iowa State,88938946-3484-432a-8bf9-045860e4f561,Pick Winners,NA,Arkansas,415597f4-8ef0-450d-aa90-7392abd8169f,ARK@ARIZ 03/26/2026 9:45pm ET
7c5e0cba-a922-4a64-9565-7c960935f12f,Entry 7,019d07ed-4f8e-4a21-ad72-20b6f6a8b3cf,NA,Houston,Florida,Illinois,Arizona,415597f4-8ef0-450d-aa90-7392abd8169f,Pick Winners,NA,Houston,d17a3ce5-9a77-4d1a-bc1e-63a100bc6509,ILL@HOU 03/26/2026 10:05pm ET
7c5e0cba-a922-4a64-9565-7c960935f12f,Entry 8,019d07ed-4f8e-4b06-aa7c-475ae9cedfb1,NA,Houston,Florida,Arkansas,Tennessee,88938946-3484-432a-8bf9-045860e4f561,Pick Winners,NA,Illinois,88938946-3484-432a-8bf9-045860e4f561,ILL@HOU 03/26/2026 10:05pm ET
7c5e0cba-a922-4a64-9565-7c960935f12f,Entry 9,019d07ed-4f8e-4d6d-85db-c3ff3d5f2ebd,NA,Illinois,Florida,Arkansas,Iowa State,b94a5674-927b-4b6d-91bb-776da741e0aa,Pick Winners,NA,NA,NA,NA
7c5e0cba-a922-4a64-9565-7c960935f12f,Entry 10,019d07ed-4f8e-4e04-9a8c-8b70578c4a9f,NA,Illinois,Florida,Houston,Arizona,415597f4-8ef0-450d-aa90-7392abd8169f,Pick Winners,NA,NA,NA,NA
