Slate ID,Entry Name,Entry ID,Previous Picks,Day 1 (Round of 64),Day 2 (Round of 64),Day 3 (Round of 32),Day 4 (Round of 32),Day 5 (Round of 16),Pick 1,Pick Objective,Instructions,Team Name,Team ID,Game Info
dfc5b41b-c9b6-4ffa-9ac4-b6d0fc701275,Entry 2,019d0328-e06f-400b-8784-c7b9921f2379,NA,Illinois,Florida,Arkansas,Iowa State,Purdue,1e4ab2a3-cec8-4ebd-96a2-7d62e9e1a24e,Pick Winners,1. Locate the team(s) you want to select in the list to the right,Duke,be1331a5-4ca1-4f47-a4d6-0aefbe24deca,SJU@DUKE 03/27/2026 7:10pm ET
dfc5b41b-c9b6-4ffa-9ac4-b6d0fc701275,Entry 7,019d0328-e06f-40ac-8ded-6e846f416889,NA,Illinois,Virginia,Arkansas,Arizona,Iowa,be1331a5-4ca1-4f47-a4d6-0aefbe24deca,Pick Winners,2. Copy the ID of the team(s),St. John's,7c049b43-d637-406d-b50f-5e4a2beb629a,SJU@DUKE 03/27/2026 7:10pm ET
dfc5b41b-c9b6-4ffa-9ac4-b6d0fc701275,Entry 10,019d0328-e06f-40e2-8885-f21286d344da,NA,Illinois,UConn,Arkansas,Iowa State,Arizona,1e4ab2a3-cec8-4ebd-96a2-7d62e9e1a24e,Pick Winners,3. Paste the ID into the desired entry under the Pick column,Michigan,5a449842-a556-4744-9544-b770fe147418,ALA@MICH 03/27/2026 7:35pm ET
dfc5b41b-c9b6-4ffa-9ac4-b6d0fc701275,Entry 16,019d0328-e06f-4145-9346-3153fd362f67,NA,Gonzaga,Florida,Arkansas,Arizona,Iowa,b46ec7e5-fa6c-451f-945e-5e535024bcc4,Pick Winners,4. The Team ID is the only text that can be input into the cell,Alabama,12207ee4-a390-477d-a4a7-7aa3f49430aa,ALA@MICH 03/27/2026 7:35pm ET
dfc5b41b-c9b6-4ffa-9ac4-b6d0fc701275,Entry 18,019d0328-e06f-41d9-b0e6-de52496345df,NA,Gonzaga,UConn,Arkansas,Iowa State,Iowa,72d09f36-72f1-4c0a-a354-92033a140ff5,Pick Winners,"5. Do not make edits anywhere in the sheet, or else the file will be invalid",UConn,57ef2016-6591-4b7a-b588-59a749c25529,MSU@CONN 03/27/2026 9:45pm ET
dfc5b41b-c9b6-4ffa-9ac4-b6d0fc701275,Entry 22,019d0328-e06f-4245-b459-38eabd793b66,NA,Gonzaga,UConn,Arkansas,St. John's,Arizona,b46ec7e5-fa6c-451f-945e-5e535024bcc4,Pick Winners,NA,Michigan State,72d09f36-72f1-4c0a-a354-92033a140ff5,MSU@CONN 03/27/2026 9:45pm ET
dfc5b41b-c9b6-4ffa-9ac4-b6d0fc701275,Entry 24,019d0328-e06f-4282-b9da-46c7ffd3d317,NA,Gonzaga,Virginia,Houston,Arizona,Illinois,b46ec7e5-fa6c-451f-945e-5e535024bcc4,Pick Winners,NA,Iowa State,b46ec7e5-fa6c-451f-945e-5e535024bcc4,TENN@ISU 03/27/2026 10:10pm ET
dfc5b41b-c9b6-4ffa-9ac4-b6d0fc701275,Entry 30,019d0328-e06f-434f-8b9a-84cf299d8b52,NA,Gonzaga,Kansas,Arkansas,Iowa State,Purdue,1e4ab2a3-cec8-4ebd-96a2-7d62e9e1a24e,Pick Winners,NA,Tennessee,1e4ab2a3-cec8-4ebd-96a2-7d62e9e1a24e,TENN@ISU 03/27/2026 10:10pm ET
dfc5b41b-c9b6-4ffa-9ac4-b6d0fc701275,Entry 33,019d0328-e06f-439c-a805-8c34ef639795,NA,Houston,Florida,Michigan,Arizona,Illinois,12207ee4-a390-477d-a4a7-7aa3f49430aa,Pick Winners,NA,NA,NA,NA
dfc5b41b-c9b6-4ffa-9ac4-b6d0fc701275,Entry 35,019d0328-e06f-43bc-b6a2-6a30fbe072d6,NA,Houston,Florida,Michigan State,Arizona,Illinois,b46ec7e5-fa6c-451f-945e-5e535024bcc4,Pick Winners,NA,NA,NA,NA
