Slate ID,Entry Name,Entry ID,Previous Picks,Day 1 (Round of 64),Day 2 (Round of 64),Day 3 (Round of 32),Day 4 (Round of 32),Day 5 (Round of 16),Day 6 (Round of 16),Pick 1,Pick 2,Pick Objective,Instructions,Team Name,Team ID,Game Info
f74cb95c-e515-4937-b5cc-c336b8570677,Entry 6,019d032e-17ac-4143-82a5-27dd37ce4641,NA,Illinois,Arizona,Michigan,St. John's,Iowa,Duke,b94a5674-927b-4b6d-91bb-776da741e0aa,57ef2016-6591-4b7a-b588-59a749c25529,Pick Winners,1. Locate the team(s) you want to select in the list to the right,Illinois,88938946-3484-432a-8bf9-045860e4f561,IOWA@ILL 03/28/2026 6:09pm ET
f74cb95c-e515-4937-b5cc-c336b8570677,Entry 7,019d032e-17ac-4165-a61f-8eb21f7c0fdb,NA,Illinois,Alabama,Houston,Iowa State,Arizona,Tennessee,7533674c-1b62-4252-9d3e-3de38e7fd3c6,b94a5674-927b-4b6d-91bb-776da741e0aa,Pick Winners,2. Copy the ID of the team(s),Iowa,7533674c-1b62-4252-9d3e-3de38e7fd3c6,IOWA@ILL 03/28/2026 6:09pm ET
f74cb95c-e515-4937-b5cc-c336b8570677,Entry 9,019d032e-17ac-4171-b5c6-2e89c8bb777f,NA,Illinois,Virginia,Houston,Iowa State,Purdue,Tennessee,7533674c-1b62-4252-9d3e-3de38e7fd3c6,5a449842-a556-4744-9544-b770fe147418,Pick Winners,3. Paste the ID into the desired entry under the Pick column,Arizona,5ea7c1aa-0bfc-47e8-8435-28821e1bf209,PUR@ARIZ 03/28/2026 8:49pm ET
f74cb95c-e515-4937-b5cc-c336b8570677,Entry 11,019d032e-17ac-4198-aff8-4bb50c85eac5,NA,Illinois,UCLA,Houston,Iowa State,Purdue,Tennessee,5ea7c1aa-0bfc-47e8-8435-28821e1bf209,7533674c-1b62-4252-9d3e-3de38e7fd3c6,Pick Winners,4. The Team ID is the only text that can be input into the cell,Purdue,b94a5674-927b-4b6d-91bb-776da741e0aa,PUR@ARIZ 03/28/2026 8:49pm ET
f74cb95c-e515-4937-b5cc-c336b8570677,Entry 12,019d032e-17ac-41b1-a17f-7e1e3e8b94e1,NA,Illinois,St. John's,Houston,Iowa State,Purdue,Tennessee,7533674c-1b62-4252-9d3e-3de38e7fd3c6,5a449842-a556-4744-9544-b770fe147418,Pick Winners,"5. Do not make edits anywhere in the sheet, or else the file will be invalid",Michigan,5a449842-a556-4744-9544-b770fe147418,TENN@MICH 03/29/2026 2:15pm ET
f74cb95c-e515-4937-b5cc-c336b8570677,Entry 24,019d032e-17ac-42b9-92b9-ad28dbb0e0de,NA,Gonzaga,Florida,Illinois,Iowa State,Purdue,Tennessee,5ea7c1aa-0bfc-47e8-8435-28821e1bf209,7533674c-1b62-4252-9d3e-3de38e7fd3c6,Pick Winners,NA,Tennessee,1e4ab2a3-cec8-4ebd-96a2-7d62e9e1a24e,TENN@MICH 03/29/2026 2:15pm ET
f74cb95c-e515-4937-b5cc-c336b8570677,Entry 28,019d032e-17ac-431e-9a72-dbdbdab5f0e7,NA,Houston,Virginia,Michigan,Iowa State,Purdue,Duke,1e4ab2a3-cec8-4ebd-96a2-7d62e9e1a24e,57ef2016-6591-4b7a-b588-59a749c25529,Pick Winners,NA,Duke,be1331a5-4ca1-4f47-a4d6-0aefbe24deca,CONN@DUKE 03/29/2026 5:05pm ET
f74cb95c-e515-4937-b5cc-c336b8570677,Entry 31,019d032e-17ac-4382-b65a-47a7753bbcb0,NA,Houston,Purdue,Michigan,Arizona,Illinois,Duke,7533674c-1b62-4252-9d3e-3de38e7fd3c6,57ef2016-6591-4b7a-b588-59a749c25529,Pick Winners,NA,UConn,57ef2016-6591-4b7a-b588-59a749c25529,CONN@DUKE 03/29/2026 5:05pm ET
f74cb95c-e515-4937-b5cc-c336b8570677,Entry 35,019d032e-17ac-4441-8e8a-6b0a4a039d0a,NA,Houston,Alabama,Arkansas,Iowa State,Arizona,Tennessee,88938946-3484-432a-8bf9-045860e4f561,b94a5674-927b-4b6d-91bb-776da741e0aa,Pick Winners,NA,NA,NA,NA
f74cb95c-e515-4937-b5cc-c336b8570677,Entry 40,019d032e-17ac-449e-8026-218c8b58dd1f,NA,Houston,Iowa State,Duke,St. John's,Illinois,Tennessee,7533674c-1b62-4252-9d3e-3de38e7fd3c6,b94a5674-927b-4b6d-91bb-776da741e0aa,Pick Winners,NA,NA,NA,NA
f74cb95c-e515-4937-b5cc-c336b8570677,Entry 41,019d032e-17ac-44a1-a3ab-b3f35d470fda,NA,Houston,UCLA,Arkansas,Iowa State,Illinois,Tennessee,5ea7c1aa-0bfc-47e8-8435-28821e1bf209,7533674c-1b62-4252-9d3e-3de38e7fd3c6,Pick Winners,NA,NA,NA,NA
f74cb95c-e515-4937-b5cc-c336b8570677,Entry 42,019d032e-17ac-44c3-ae76-a6850a92ae1d,NA,Houston,St. John's,Arkansas,Iowa State,Purdue,Duke,7533674c-1b62-4252-9d3e-3de38e7fd3c6,57ef2016-6591-4b7a-b588-59a749c25529,Pick Winners,NA,NA,NA,NA
f74cb95c-e515-4937-b5cc-c336b8570677,Entry 43,019d032e-17ac-4509-8520-5b1fd15a081d,NA,Houston,Miami (FL),Michigan,Iowa State,Purdue,UConn,5ea7c1aa-0bfc-47e8-8435-28821e1bf209,be1331a5-4ca1-4f47-a4d6-0aefbe24deca,Pick Winners,NA,NA,NA,NA
f74cb95c-e515-4937-b5cc-c336b8570677,Entry 45,019d032e-17ac-455e-a9cf-f38bc729d769,NA,Michigan State,UConn,Duke,St. John's,Iowa,Michigan,5ea7c1aa-0bfc-47e8-8435-28821e1bf209,88938946-3484-432a-8bf9-045860e4f561,Pick Winners,NA,NA,NA,NA
f74cb95c-e515-4937-b5cc-c336b8570677,Entry 51,019d032e-17ac-4586-b832-4de88c3e9c5f,NA,Michigan State,Virginia,Arkansas,Arizona,Iowa,UConn,be1331a5-4ca1-4f47-a4d6-0aefbe24deca,b94a5674-927b-4b6d-91bb-776da741e0aa,Pick Winners,NA,NA,NA,NA
f74cb95c-e515-4937-b5cc-c336b8570677,Entry 57,019d032e-17ac-45d7-801a-220253f3f4b4,NA,Michigan State,Iowa State,Duke,UConn,Iowa,Tennessee,5ea7c1aa-0bfc-47e8-8435-28821e1bf209,88938946-3484-432a-8bf9-045860e4f561,Pick Winners,NA,NA,NA,NA
f74cb95c-e515-4937-b5cc-c336b8570677,Entry 59,019d032e-17ac-4611-8b25-0ad389595b60,NA,Michigan State,Kansas,Arkansas,Iowa State,Arizona,UConn,be1331a5-4ca1-4f47-a4d6-0aefbe24deca,88938946-3484-432a-8bf9-045860e4f561,Pick Winners,NA,NA,NA,NA
f74cb95c-e515-4937-b5cc-c336b8570677,Entry 60,019d032e-17ac-461c-b3d1-461f4403e360,NA,Michigan State,UCLA,Arkansas,Iowa State,Purdue,UConn,88938946-3484-432a-8bf9-045860e4f561,1e4ab2a3-cec8-4ebd-96a2-7d62e9e1a24e,Pick Winners,NA,NA,NA,NA
f74cb95c-e515-4937-b5cc-c336b8570677,Entry 61,019d032e-17ac-4629-8b68-b3b761136a3a,NA,Michigan State,St. John's,Arkansas,Iowa State,Purdue,UConn,be1331a5-4ca1-4f47-a4d6-0aefbe24deca,7533674c-1b62-4252-9d3e-3de38e7fd3c6,Pick Winners,NA,NA,NA,NA
f74cb95c-e515-4937-b5cc-c336b8570677,Entry 63,019d032e-17ac-4673-bc07-27fa17848ee8,NA,Nebraska,UConn,Illinois,Iowa State,Iowa,Duke,5ea7c1aa-0bfc-47e8-8435-28821e1bf209,5a449842-a556-4744-9544-b770fe147418,Pick Winners,NA,NA,NA,NA
f74cb95c-e515-4937-b5cc-c336b8570677,Entry 64,019d032e-17ac-4688-9891-2cd86699f612,NA,Nebraska,Arizona,Illinois,St. John's,Iowa,Duke,b94a5674-927b-4b6d-91bb-776da741e0aa,57ef2016-6591-4b7a-b588-59a749c25529,Pick Winners,NA,NA,NA,NA
f74cb95c-e515-4937-b5cc-c336b8570677,Entry 68,019d032e-17ac-46df-9555-d07fb338767e,NA,Nebraska,Virginia,Illinois,Iowa State,Iowa,Duke,5ea7c1aa-0bfc-47e8-8435-28821e1bf209,57ef2016-6591-4b7a-b588-59a749c25529,Pick Winners,NA,NA,NA,NA
f74cb95c-e515-4937-b5cc-c336b8570677,Entry 72,019d032e-17ac-471d-bb69-86c6c14a1e06,NA,Nebraska,Tennessee,Illinois,Alabama,Iowa,Duke,5ea7c1aa-0bfc-47e8-8435-28821e1bf209,57ef2016-6591-4b7a-b588-59a749c25529,Pick Winners,NA,NA,NA,NA
f74cb95c-e515-4937-b5cc-c336b8570677,Entry 73,019d032e-17ac-4752-a08b-e9b8375c5ad4,NA,Nebraska,Alabama,Houston,Iowa State,Purdue,UConn,88938946-3484-432a-8bf9-045860e4f561,1e4ab2a3-cec8-4ebd-96a2-7d62e9e1a24e,Pick Winners,NA,NA,NA,NA
f74cb95c-e515-4937-b5cc-c336b8570677,Entry 74,019d032e-17ac-4759-8e02-591325911ccf,NA,Nebraska,Iowa State,Houston,St. John's,Purdue,Tennessee,5ea7c1aa-0bfc-47e8-8435-28821e1bf209,88938946-3484-432a-8bf9-045860e4f561,Pick Winners,NA,NA,NA,NA
f74cb95c-e515-4937-b5cc-c336b8570677,Entry 76,019d032e-17ac-475e-ab68-9c605f744f68,NA,Nebraska,Kansas,Houston,Iowa State,Purdue,Tennessee,5ea7c1aa-0bfc-47e8-8435-28821e1bf209,88938946-3484-432a-8bf9-045860e4f561,Pick Winners,NA,NA,NA,NA
f74cb95c-e515-4937-b5cc-c336b8570677,Entry 77,019d032e-17ac-477d-a818-00b78e3e1352,NA,Nebraska,UCLA,Houston,Iowa State,Purdue,Tennessee,88938946-3484-432a-8bf9-045860e4f561,5a449842-a556-4744-9544-b770fe147418,Pick Winners,NA,NA,NA,NA
f74cb95c-e515-4937-b5cc-c336b8570677,Entry 78,019d032e-17ac-47a7-bd75-093e4e03afb7,NA,Nebraska,St. John's,Houston,Iowa State,Purdue,Tennessee,5ea7c1aa-0bfc-47e8-8435-28821e1bf209,88938946-3484-432a-8bf9-045860e4f561,Pick Winners,NA,NA,NA,NA
f74cb95c-e515-4937-b5cc-c336b8570677,Entry 79,019d032e-17ac-47bf-9132-5dffe80f1099,NA,Nebraska,Miami (FL),Houston,Iowa State,Purdue,Tennessee,5ea7c1aa-0bfc-47e8-8435-28821e1bf209,88938946-3484-432a-8bf9-045860e4f561,Pick Winners,NA,NA,NA,NA
f74cb95c-e515-4937-b5cc-c336b8570677,Entry 92,019d032e-17ac-48c7-adfa-a406608ddb23,NA,Gonzaga,Iowa State,Duke,St. John's,Iowa,Tennessee,88938946-3484-432a-8bf9-045860e4f561,57ef2016-6591-4b7a-b588-59a749c25529,Pick Winners,NA,NA,NA,NA
f74cb95c-e515-4937-b5cc-c336b8570677,Entry 101,019d032e-17ac-4963-91b5-3600ef234a1e,NA,Vanderbilt,Florida,Duke,Iowa State,Purdue,Tennessee,5a449842-a556-4744-9544-b770fe147418,57ef2016-6591-4b7a-b588-59a749c25529,Pick Winners,NA,NA,NA,NA
f74cb95c-e515-4937-b5cc-c336b8570677,Entry 115,019d032e-17ac-4b24-8812-8d07863fa208,NA,Vanderbilt,St. John's,Duke,Iowa State,Purdue,Tennessee,7533674c-1b62-4252-9d3e-3de38e7fd3c6,57ef2016-6591-4b7a-b588-59a749c25529,Pick Winners,NA,NA,NA,NA
f74cb95c-e515-4937-b5cc-c336b8570677,Entry 138,019d032e-17ac-4ec3-962b-2529751d82a8,NA,Duke,Florida,Michigan State,Iowa State,Iowa,Tennessee,5ea7c1aa-0bfc-47e8-8435-28821e1bf209,57ef2016-6591-4b7a-b588-59a749c25529,Pick Winners,NA,NA,NA,NA
f74cb95c-e515-4937-b5cc-c336b8570677,Entry 145,019d032e-17ac-4f51-abd2-53dfdd919a48,NA,Duke,Kansas,Arkansas,Iowa State,Arizona,Tennessee,b94a5674-927b-4b6d-91bb-776da741e0aa,57ef2016-6591-4b7a-b588-59a749c25529,Pick Winners,NA,NA,NA,NA
f74cb95c-e515-4937-b5cc-c336b8570677,Entry 147,019d032e-17ac-4f9b-96c7-cf435a3817cf,NA,Duke,St. John's,Arkansas,Iowa State,Arizona,Tennessee,88938946-3484-432a-8bf9-045860e4f561,57ef2016-6591-4b7a-b588-59a749c25529,Pick Winners,NA,NA,NA,NA
