Slate ID,Entry Name,Entry ID,Previous Picks,"Day 1 (Round of 64), Pick 1","Day 1 (Round of 64), Pick 2","Day 2 (Round of 64), Pick 1","Day 2 (Round of 64), Pick 2",Day 3 (Round of 32),Day 4 (Round of 32),Day 5 (Round of 16),Day 6 (Round of 16),Pick 1,Pick 2,Pick Objective,Instructions,Team Name,Team ID,Game Info
f74cb95c-e515-4937-b5cc-c336b8570677,Entry 3,019d02bb-f2a5-404c-a770-880295645c59,NA,Michigan,Nebraska,Arizona,Purdue,Arkansas,St. John's,Iowa,Duke,88938946-3484-432a-8bf9-045860e4f561,57ef2016-6591-4b7a-b588-59a749c25529,Pick Winners,1. Locate the team(s) you want to select in the list to the right,Illinois,88938946-3484-432a-8bf9-045860e4f561,IOWA@ILL 03/28/2026 6:09pm ET
f74cb95c-e515-4937-b5cc-c336b8570677,Entry 5,019d02bb-f2a5-406d-83ae-023022a9bd8b,NA,Nebraska,Michigan,Arizona,Kansas,Arkansas,St. John's,Iowa,Duke,1e4ab2a3-cec8-4ebd-96a2-7d62e9e1a24e,57ef2016-6591-4b7a-b588-59a749c25529,Pick Winners,2. Copy the ID of the team(s),Iowa,7533674c-1b62-4252-9d3e-3de38e7fd3c6,IOWA@ILL 03/28/2026 6:09pm ET
f74cb95c-e515-4937-b5cc-c336b8570677,Entry 9,019d02bb-f2a5-40c3-a79f-7211b8cbb2b5,NA,Nebraska,Michigan,UConn,Purdue,Arkansas,Arizona,Iowa,Duke,88938946-3484-432a-8bf9-045860e4f561,1e4ab2a3-cec8-4ebd-96a2-7d62e9e1a24e,Pick Winners,3. Paste the ID into the desired entry under the Pick column,Arizona,5ea7c1aa-0bfc-47e8-8435-28821e1bf209,PUR@ARIZ 03/28/2026 8:49pm ET
f74cb95c-e515-4937-b5cc-c336b8570677,Entry 25,019d02bb-f2a5-4263-a5ae-8901287384fe,NA,Duke,Nebraska,Arizona,Iowa State,Arkansas,St. John's,Iowa,Tennessee,88938946-3484-432a-8bf9-045860e4f561,57ef2016-6591-4b7a-b588-59a749c25529,Pick Winners,4. The Team ID is the only text that can be input into the cell,Purdue,b94a5674-927b-4b6d-91bb-776da741e0aa,PUR@ARIZ 03/28/2026 8:49pm ET
f74cb95c-e515-4937-b5cc-c336b8570677,Entry 26,019d02bb-f2a5-426f-8f35-a243c88fd357,NA,Nebraska,Duke,Arizona,Iowa State,Arkansas,UConn,Iowa,Tennessee,88938946-3484-432a-8bf9-045860e4f561,b94a5674-927b-4b6d-91bb-776da741e0aa,Pick Winners,"5. Do not make edits anywhere in the sheet, or else the file will be invalid",Michigan,5a449842-a556-4744-9544-b770fe147418,TENN@MICH 03/29/2026 2:15pm ET
f74cb95c-e515-4937-b5cc-c336b8570677,Entry 30,019d02bb-f2a5-42a8-ba18-80ee6d26a85b,NA,Nebraska,Duke,Iowa State,Utah State,Arkansas,Arizona,Iowa,Tennessee,b94a5674-927b-4b6d-91bb-776da741e0aa,57ef2016-6591-4b7a-b588-59a749c25529,Pick Winners,NA,Tennessee,1e4ab2a3-cec8-4ebd-96a2-7d62e9e1a24e,TENN@MICH 03/29/2026 2:15pm ET
f74cb95c-e515-4937-b5cc-c336b8570677,Entry 34,019d02bb-f2a5-4315-9c2d-a48fda37ec16,NA,Nebraska,Gonzaga,Iowa State,Kansas,Houston,St. John's,Purdue,Tennessee,5ea7c1aa-0bfc-47e8-8435-28821e1bf209,88938946-3484-432a-8bf9-045860e4f561,Pick Winners,NA,Duke,be1331a5-4ca1-4f47-a4d6-0aefbe24deca,CONN@DUKE 03/29/2026 5:05pm ET
f74cb95c-e515-4937-b5cc-c336b8570677,Entry 36,019d02bb-f2a5-4333-9bcb-cff75dfb3d00,NA,Nebraska,Gonzaga,Iowa State,St. John's,Houston,UConn,Purdue,Tennessee,be1331a5-4ca1-4f47-a4d6-0aefbe24deca,7533674c-1b62-4252-9d3e-3de38e7fd3c6,Pick Winners,NA,UConn,57ef2016-6591-4b7a-b588-59a749c25529,CONN@DUKE 03/29/2026 5:05pm ET
f74cb95c-e515-4937-b5cc-c336b8570677,Entry 38,019d02bb-f2a5-4384-950b-1ccecab3d4b5,NA,Nebraska,Michigan State,Arizona,Virginia,Michigan,St. John's,Iowa,UConn,88938946-3484-432a-8bf9-045860e4f561,1e4ab2a3-cec8-4ebd-96a2-7d62e9e1a24e,Pick Winners,NA,NA,NA,NA
f74cb95c-e515-4937-b5cc-c336b8570677,Entry 43,019d02bb-f2a5-43ff-85c2-7587b6ba527d,NA,Michigan State,Nebraska,Alabama,Arizona,Michigan,St. John's,Iowa,UConn,be1331a5-4ca1-4f47-a4d6-0aefbe24deca,b94a5674-927b-4b6d-91bb-776da741e0aa,Pick Winners,NA,NA,NA,NA
