day,team,picks,ownership,year
day10_teamName,UConn,5,0.7142857142857143,2024
day10_teamName,Purdue,2,0.2857142857142857,2024
day1_teamName,BYU,846,0.1910137728606909,2024
day1_teamName,Kentucky,504,0.11379543915104989,2024
day1_teamName,Illinois,471,0.10634454730187401,2024
day1_teamName,Creighton,349,0.07879882592007226,2024
day1_teamName,North Carolina,340,0.07676676450666065,2024
day1_teamName,Kansas,315,0.07112214946940619,2024
day1_teamName,Iowa State,240,0.05418830435764281,2024
day1_teamName,Texas Tech,197,0.04447956649356514,2024
day1_teamName,Tennessee,193,0.043576428087604424,2024
day1_teamName,Gonzaga,169,0.038157597651840146,2024
day1_teamName,Arizona,163,0.03680289004289907,2024
day1_teamName,Texas,93,0.02099796793858659,2024
day1_teamName,Drake,87,0.01964326032964552,2024
day1_teamName,Michigan State,81,0.018288552720704447,2024
day1_teamName,Nevada,75,0.01693384511176338,2024
day1_teamName,Oregon,58,0.013095506886430346,2024
day1_teamName,Dayton,49,0.01106344547301874,2024
day1_teamName,South Carolina,49,0.01106344547301874,2024
day1_teamName,Mississippi State,43,0.009708737864077669,2024
day1_teamName,Washington State,33,0.007450891849175886,2024
day1_teamName,Colorado State,25,0.0056446150372544595,2024
day1_teamName,McNeese,16,0.003612553623842854,2024
day1_teamName,Samford,14,0.003160984420862497,2024
day1_teamName,NC State,10,0.002257846014901784,2024
day1_teamName,Duquesne,8,0.001806276811921427,2024
day1_teamName,Morehead State,1,2.2578460149017836e-4,2024
day2_teamName,Baylor,520,0.20400156924284032,2024
day2_teamName,Duke,280,0.10984699882306787,2024
day2_teamName,Alabama,263,0.10317771675166731,2024
day2_teamName,Auburn,256,0.10043154178109062,2024
day2_teamName,San Diego State,255,0.10003923107100823,2024
day2_teamName,Marquette,199,0.07806983130639467,2024
day2_teamName,Florida Atlantic,106,0.04158493526873284,2024
day2_teamName,Saint Mary's,105,0.04119262455865045,2024
day2_teamName,TCU,95,0.0372695174578266,2024
day2_teamName,Wisconsin,91,0.03570027461749706,2024
day2_teamName,Houston,78,0.03060023538642605,2024
day2_teamName,Purdue,65,0.02550019615535504,2024
day2_teamName,UConn,47,0.018438603373872108,2024
day2_teamName,New Mexico,44,0.01726167124362495,2024
day2_teamName,Nebraska,34,0.013338564142801098,2024
day2_teamName,Clemson,22,0.008630835621812475,2024
day2_teamName,Texas A&M,21,0.00823852491173009,2024
day2_teamName,Northwestern,17,0.006669282071400549,2024
day2_teamName,Florida,16,0.006276971361318164,2024
day2_teamName,Utah State,15,0.005884660651235779,2024
day2_teamName,Grand Canyon,9,0.003530796390741467,2024
day2_teamName,Colorado,8,0.003138485680659082,2024
day2_teamName,James Madison,2,7.846214201647705e-4,2024
day2_teamName,UAB,1,3.9231071008238524e-4,2024
day3_teamName,Illinois,544,0.3103251568739304,2024
day3_teamName,NC State,384,0.2190530519110097,2024
day3_teamName,Iowa State,207,0.11808328579577866,2024
day3_teamName,Gonzaga,169,0.09640616086708499,2024
day3_teamName,Arizona,143,0.08157444381061038,2024
day3_teamName,Creighton,111,0.06332002281802625,2024
day3_teamName,Tennessee,107,0.061038220193953226,2024
day3_teamName,North Carolina,47,0.026811180832857957,2024
day3_teamName,Kansas,16,0.00912721049629207,2024
day3_teamName,Oregon,14,0.007986309184255563,2024
day3_teamName,Oakland,10,0.005704506560182544,2024
day3_teamName,Michigan State,1,5.704506560182544e-4,2024
day4_teamName,San Diego State,538,0.31535756154747946,2024
day4_teamName,Alabama,282,0.1652989449003517,2024
day4_teamName,Duke,268,0.1570926143024619,2024
day4_teamName,Purdue,224,0.13130128956623682,2024
day4_teamName,Baylor,157,0.09202813599062133,2024
day4_teamName,Houston,84,0.0492379835873388,2024
day4_teamName,Marquette,63,0.0369284876905041,2024
day4_teamName,UConn,41,0.02403282532239156,2024
day4_teamName,Clemson,10,0.005861664712778429,2024
day4_teamName,Grand Canyon,10,0.005861664712778429,2024
day4_teamName,Colorado,9,0.005275498241500586,2024
day4_teamName,James Madison,9,0.005275498241500586,2024
day4_teamName,Yale,8,0.004689331770222743,2024
day4_teamName,Texas A&M,2,0.0011723329425556857,2024
day4_teamName,Utah State,1,5.861664712778429e-4,2024
day5_teamName,Arizona,450,0.298606502986065,2024
day5_teamName,Iowa State,362,0.2402123424021234,2024
day5_teamName,North Carolina,326,0.21632382216323823,2024
day5_teamName,Illinois,189,0.12541473125414732,2024
day5_teamName,UConn,107,0.0710019907100199,2024
day5_teamName,Alabama,43,0.028533510285335104,2024
day5_teamName,Clemson,27,0.017916390179163903,2024
day5_teamName,San Diego State,3,0.0019907100199071004,2024
day6_teamName,Marquette,163,0.4453551912568306,2024
day6_teamName,Tennessee,61,0.16666666666666666,2024
day6_teamName,Purdue,43,0.11748633879781421,2024
day6_teamName,Creighton,32,0.08743169398907104,2024
day6_teamName,Houston,29,0.07923497267759563,2024
day6_teamName,Gonzaga,25,0.06830601092896176,2024
day6_teamName,Duke,8,0.02185792349726776,2024
day6_teamName,NC State,5,0.01366120218579235,2024
day7_teamName,Clemson,59,0.5175438596491229,2024
day7_teamName,Alabama,32,0.2807017543859649,2024
day7_teamName,Duke,9,0.07894736842105263,2024
day7_teamName,NC State,6,0.05263157894736842,2024
day7_teamName,Purdue,5,0.043859649122807015,2024
day7_teamName,Tennessee,2,0.017543859649122806,2024
day7_teamName,Illinois,1,0.008771929824561403,2024
day8_teamName,Duke,34,0.3090909090909091,2024
day8_teamName,NC State,28,0.2545454545454545,2024
day8_teamName,Purdue,19,0.17272727272727273,2024
day8_teamName,Tennessee,15,0.13636363636363635,2024
day8_teamName,UConn,13,0.11818181818181818,2024
day8_teamName,Illinois,1,0.00909090909090909,2024
day9_teamName,Purdue,7,0.3333333333333333,2024
day9_teamName,NC State,6,0.2857142857142857,2024
day9_teamName,Alabama,4,0.19047619047619047,2024
day9_teamName,UConn,4,0.19047619047619047,2024
